Hour, Price, Sun, Charge
1.0, 41.62, 0.0, 0.0
1.5, 105.372, 0.0, 0.0
2.0, 37.95, 0.0, 0.0
2.5, 34.33, 0.0, 0.0
3.0, 24.176, 0.0, 0.0
3.5, 20.64, 0.0, 0.0
4.0, 15.48, 0.0, 0.0
4.5, 16.76, 0.0, 0.0
5.0, 15.672, 0.0, 0.0
5.5, 16.464, 0.0, 0.0
6.0, 17.224, 602.0, 0.0
6.5, 18.52, 701.0, 0.0
7.0, 19.256, 800.0, 1.0
7.5, 18.864, 848.0, 3.0
8.0, 21.832, 896.0, 7.0
8.5, 25.984, 918.0, 13.0
9.0, 23.976, 940.0, 21.0
9.5, 44.09, 948.5, 30.0
10.0, 118.524, 957.0, 30.0
10.5, 133.332, 956.5, 30.0
11.0, 129.72, 956.0, 30.0
11.5, 192.288, 954.0, 30.0
12.0, 184.116, 952.0, 30.0
12.5, 317.796, 959.5, 26.0
13.0, 138.732, 967.0, 26.0
13.5, 106.152, 969.0, 26.0
14.0, 90.6, 971.0, 26.0
14.5, 134.016, 964.5, 26.0
15.0, 49.77, 958.0, 36.0
15.5, 178.524, 939.5, 36.0
16.0, 316.164, 921.0, 26.0
16.5, 360.0, 877.5, 14.0
17.0, 269.28, 834.0, 0.0
17.5, 208.656, 741.5, 0.0
18.0, 210.816, 649.0, 0.0
18.5, 43.85, 0.0, 0.0
19.0, 205.968, 0.0, 0.0
19.5, 34.79, 0.0, 0.0
20.0, 33.32, 0.0, 0.0
20.5, 23.536, 0.0, 0.0
21.0, 23.416, 0.0, 0.0
21.5, 20.24, 0.0, 0.0
22.0, 16.928, 0.0, 0.0
22.5, 18.432, 0.0, 0.0
23.0, 17.152, 0.0, 0.0
23.5, 17.72, 0.0, 0.0
0.0, 18.776, 0.0, 0.0
0.5, 17.048, 0.0, 0.0
1.0, 16.208, 0.0, 0.0
1.5, 16.392, 0.0, 0.0
2.0, 14.304, 0.0, 0.0
2.5, 11.008, 0.0, 0.0
3.0, 11.464, 0.0, 0.0
3.5, 10.392, 0.0, 0.0
4.0, 11.704, 0.0, 0.0
4.5, 12.056, 0.0, 0.0
5.0, 13.584, 0.0, 0.0
5.5, 15.648, 0.0, 0.0
6.0, 15.424, 704.0, 0.0
6.5, 17.544, 762.0, 0.0
7.0, 17.496, 820.0, 1.0
7.5, 16.888, 865.0, 3.0
8.0, 18.872, 910.0, 7.0
8.5, 35.82, 932.0, 7.0
9.0, 34.63, 954.0, 15.0
9.5, 35.52, 963.5, 15.0
10.0, 36.5, 973.0, 15.0
10.5, 45.16, 974.0, 15.0
