Hour, Price, Sun, Charge
1.0, 18.56, 0.0, 0.0
1.5, 19.09, 0.0, 0.0
2.0, 17.4, 0.0, 0.0
2.5, 17.0, 0.0, 0.0
3.0, 17.0, 0.0, 0.0
3.5, 17.0, 0.0, 0.0
4.0, 16.92, 0.0, 0.0
4.5, 15.2, 0.0, 0.0
5.0, 14.99, 506.0, 0.0
5.5, 15.08, 634.5, 0.0
6.0, 15.16, 763.0, 0.0
6.5, 14.35, 816.5, 2.0
7.0, 15.25, 870.0, 5.0
7.5, 15.74, 890.5, 10.0
8.0, 16.46, 911.0, 17.0
8.5, 16.95, 922.5, 17.0
9.0, 19.09, 934.0, 17.0
9.5, 24.0, 933.0, 17.0
10.0, 29.85, 932.0, 17.0
10.5, 34.03, 923.5, 17.0
11.0, 43.63, 915.0, 17.0
11.5, 45.6, 916.0, 17.0
12.0, 47.21, 917.0, 17.0
12.5, 68.11, 922.5, 17.0
13.0, 99.57, 928.0, 17.0
13.5, 153.18, 925.5, 17.0
14.0, 100.75, 923.0, 17.0
14.5, 103.6, 915.5, 17.0
15.0, 103.65, 908.0, 17.0
15.5, 104.24, 882.0, 17.0
16.0, 104.36, 856.0, 17.0
16.5, 104.25, 791.0, 17.0
17.0, 103.93, 726.0, 17.0
17.5, 73.93, 0.0, 17.0
18.0, 60.38, 0.0, 17.0
18.5, 48.13, 0.0, 17.0
19.0, 45.25, 0.0, 17.0
19.5, 49.16, 0.0, 17.0
20.0, 49.01, 0.0, 17.0
20.5, 40.53, 0.0, 17.0
21.0, 26.9, 0.0, 17.0
21.5, 20.94, 0.0, 17.0
22.0, 18.48, 0.0, 17.0
22.5, 17.63, 0.0, 17.0
23.0, 16.87, 0.0, 17.0
23.5, 16.84, 0.0, 17.0
0.0, 16.37, 0.0, 17.0
0.5, 15.35, 0.0, 17.0
1.0, 15.1, 0.0, 17.0
1.5, 15.12, 0.0, 17.0
2.0, 15.1, 0.0, 17.0
2.5, 15.07, 0.0, 17.0
3.0, 15.1, 0.0, 17.0
3.5, 15.01, 0.0, 17.0
4.0, 14.8, 0.0, 17.0
4.5, 15.07, 0.0, 17.0
5.0, 15.02, 0.0, 17.0
5.5, 14.22, 0.0, 17.0
6.0, 15.07, 0.0, 17.0
6.5, 14.08, 1.5, 17.0
7.0, 15.1, 3.0, 17.0
7.5, 15.18, 5.0, 17.0
8.0, 15.58, 7.0, 17.0
8.5, 15.94, 5.5, 17.0
9.0, 16.78, 4.0, 17.0
9.5, 16.84, 5.0, 17.0
10.0, 16.92, 6.0, 17.0
10.5, 17.0, 8.5, 17.0
11.0, 17.0, 11.0, 17.0
11.5, 17.0, 15.5, 17.0
12.0, 17.0, 20.0, 17.0
12.5, 17.18, 24.5, 17.0
13.0, 17.0, 29.0, 17.0
13.5, 17.0, 39.0, 17.0
14.0, 17.04, 49.0, 17.0
14.5, 17.03, 47.0, 17.0
15.0, 16.97, 45.0, 17.0
15.5, 17.11, 58.0, 17.0
16.0, 17.26, 71.0, 17.0
16.5, 17.6, 46.0, 17.0
17.0, 17.9, 21.0, 17.0
17.5, 17.4, 0.0, 17.0
18.0, 17.2, 0.0, 17.0
18.5, 16.86, 0.0, 17.0
19.0, 16.86, 0.0, 17.0
19.5, 16.87, 0.0, 17.0
20.0, 17.0, 0.0, 17.0
20.5, 16.87, 0.0, 17.0
21.0, 16.84, 0.0, 17.0
21.5, 16.84, 0.0, 17.0
22.0, 16.51, 0.0, 17.0
22.5, 16.29, 0.0, 17.0
23.0, 16.25, 0.0, 17.0
23.5, 16.43, 0.0, 17.0
0.0, 15.88, 0.0, 17.0
0.5, 15.43, 0.0, 17.0
1.0, 15.08, 0.0, 17.0
1.5, 15.28, 0.0, 17.0
2.0, 14.69, 0.0, 17.0
2.5, 12.49, 0.0, 17.0
3.0, 11.82, 0.0, 17.0
3.5, 11.01, 0.0, 17.0
4.0, 10.7, 0.0, 17.0
4.5, 12.12, 0.0, 17.0
5.0, 13.84, 516.0, 17.0
5.5, 15.02, 644.0, 17.0
6.0, 16.06, 772.0, 17.0
6.5, 15.36, 828.0, 19.0
7.0, 16.33, 884.0, 22.0
7.5, 16.84, 907.0, 27.0
8.0, 16.95, 930.0, 34.0
8.5, 17.93, 944.5, 34.0
9.0, 18.78, 959.0, 34.0
9.5, 19.92, 955.0, 34.0
10.0, 23.63, 951.0, 34.0
10.5, 28.25, 951.5, 34.0
11.0, 33.55, 952.0, 34.0
11.5, 46.16, 958.5, 34.0
12.0, 47.12, 965.0, 34.0
12.5, 57.96, 968.5, 34.0
13.0, 72.93, 972.0, 34.0
13.5, 106.03, 968.0, 34.0
14.0, 159.06, 964.0, 34.0
14.5, 186.86, 951.5, 34.0
15.0, 268.05, 939.0, 25.0
15.5, 195.79, 900.0, 14.0
16.0, 212.73, 861.0, 0.0
16.5, 52.29, 714.5, 0.0
17.0, 57.62, 568.0, 0.0
17.5, 41.49, 0.0, 0.0
18.0, 26.26, 0.0, 0.0
18.5, 17.13, 0.0, 0.0
19.0, 16.97, 0.0, 0.0
19.5, 17.0, 0.0, 0.0
20.0, 17.64, 0.0, 0.0
20.5, 18.03, 0.0, 0.0
21.0, 16.93, 0.0, 0.0
21.5, 16.88, 0.0, 0.0
22.0, 16.91, 0.0, 0.0
22.5, 16.93, 0.0, 0.0
23.0, 16.87, 0.0, 0.0
23.5, 16.87, 0.0, 0.0
0.0, 16.8, 0.0, 0.0
0.5, 16.71, 0.0, 0.0
1.0, 16.57, 0.0, 0.0
1.5, 16.55, 0.0, 0.0
2.0, 15.51, 0.0, 0.0
2.5, 15.97, 0.0, 0.0
3.0, 15.53, 0.0, 0.0
3.5, 15.29, 0.0, 0.0
4.0, 15.17, 0.0, 0.0
4.5, 16.08, 0.0, 0.0
5.0, 16.36, 0.0, 0.0
5.5, 15.94, 2.0, 0.0
6.0, 16.27, 4.0, 0.0
6.5, 16.46, 5.5, 0.0
7.0, 16.76, 7.0, 0.0
7.5, 16.84, 6.5, 0.0
8.0, 16.97, 6.0, 0.0
8.5, 17.05, 6.5, 0.0
9.0, 17.89, 7.0, 0.0
9.5, 19.64, 6.5, 0.0
10.0, 17.66, 6.0, 0.0
10.5, 19.45, 5.5, 0.0
11.0, 17.27, 5.0, 0.0
11.5, 18.44, 5.0, 0.0
12.0, 19.36, 5.0, 0.0
12.5, 19.06, 4.5, 0.0
13.0, 19.13, 4.0, 0.0
13.5, 17.09, 4.0, 0.0
14.0, 16.86, 4.0, 0.0
14.5, 16.84, 5.5, 0.0
15.0, 16.92, 7.0, 0.0
15.5, 16.85, 29.5, 0.0
16.0, 16.84, 52.0, 0.0
16.5, 16.93, 108.5, 0.0
17.0, 16.84, 165.0, 0.0
17.5, 16.84, 0.0, 0.0
18.0, 16.84, 0.0, 0.0
18.5, 16.68, 0.0, 0.0
19.0, 16.26, 0.0, 0.0
19.5, 16.84, 0.0, 0.0
20.0, 16.84, 0.0, 0.0
20.5, 16.87, 0.0, 0.0
21.0, 16.76, 0.0, 0.0
21.5, 16.84, 0.0, 0.0
22.0, 16.78, 0.0, 0.0
22.5, 16.87, 0.0, 0.0
23.0, 16.81, 0.0, 0.0
23.5, 16.87, 0.0, 0.0
0.0, 16.62, 0.0, 0.0
0.5, 16.1, 0.0, 0.0
1.0, 16.43, 0.0, 0.0
1.5, 15.97, 0.0, 0.0
2.0, 15.3, 0.0, 0.0
2.5, 15.0, 0.0, 0.0
3.0, 14.8, 0.0, 0.0
3.5, 14.49, 0.0, 0.0
4.0, 13.78, 0.0, 0.0
4.5, 15.02, 0.0, 0.0
5.0, 15.1, 0.0, 0.0
