Hour, Price, Sun, Charge
1.0, 20.98, 0.0, 0.0
1.5, 20.06, 0.0, 0.0
2.0, 17.93, 0.0, 0.0
2.5, 17.43, 0.0, 0.0
3.0, 16.85, 0.0, 0.0
3.5, 12.048, 0.0, 0.0
4.0, 10.584, 0.0, 0.0
4.5, 12.072, 0.0, 0.0
5.0, 12.104, 1.0, 0.0
5.5, 9.472, 11.0, 0.0
6.0, 12.368, 21.0, 0.0
6.5, 16.8, 24.5, 0.0
7.0, 17.36, 28.0, 0.0
7.5, 18.06, 24.5, 0.0
8.0, 20.44, 21.0, 0.0
8.5, 21.0, 20.5, 0.0
9.0, 21.08, 20.0, 0.0
9.5, 21.14, 19.0, 0.0
10.0, 21.96, 18.0, 0.0
10.5, 22.08, 30.5, 0.0
11.0, 22.0, 43.0, 0.0
11.5, 22.0, 40.5, 0.0
12.0, 22.04, 38.0, 0.0
12.5, 22.0, 32.5, 0.0
13.0, 22.0, 27.0, 0.0
13.5, 22.36, 15.0, 0.0
14.0, 22.0, 3.0, 0.0
14.5, 22.0, 90.0, 1.0
15.0, 22.0, 177.0, 2.0
15.5, 22.0, 127.5, 3.0
16.0, 22.01, 78.0, 3.0
16.5, 22.0, 42.5, 3.0
17.0, 22.82, 7.0, 3.0
17.5, 23.87, 0.0, 3.0
18.0, 23.68, 0.0, 3.0
18.5, 22.5, 0.0, 3.0
19.0, 22.0, 0.0, 3.0
19.5, 22.01, 0.0, 3.0
20.0, 22.02, 0.0, 3.0
20.5, 22.01, 0.0, 3.0
21.0, 21.98, 0.0, 3.0
21.5, 22.4, 0.0, 3.0
22.0, 21.5, 0.0, 3.0
22.5, 21.7, 0.0, 3.0
23.0, 22.27, 0.0, 3.0
23.5, 21.5, 0.0, 3.0
0.0, 21.0, 0.0, 3.0
0.5, 20.67, 0.0, 3.0
1.0, 19.27, 0.0, 3.0
1.5, 17.92, 0.0, 3.0
2.0, 12.504, 0.0, 3.0
2.5, 11.456, 0.0, 3.0
3.0, 11.264, 0.0, 3.0
3.5, 12.208, 0.0, 3.0
4.0, 12.448, 0.0, 3.0
4.5, 10.384, 0.0, 3.0
5.0, 11.896, 0.0, 3.0
5.5, 13.064, 35.0, 3.0
6.0, 16.86, 70.0, 3.0
6.5, 17.47, 55.0, 3.0
7.0, 17.07, 40.0, 3.0
7.5, 20.33, 39.5, 3.0
8.0, 21.47, 39.0, 3.0
8.5, 22.01, 116.5, 4.0
9.0, 22.01, 194.0, 6.0
9.5, 22.59, 189.0, 8.0
10.0, 22.11, 184.0, 10.0
10.5, 22.1, 92.5, 11.0
11.0, 22.07, 1.0, 11.0
11.5, 22.01, 8.0, 11.0
12.0, 22.13, 15.0, 11.0
12.5, 22.0, 13.5, 11.0
13.0, 22.0, 12.0, 11.0
13.5, 22.01, 26.5, 11.0
14.0, 21.83, 41.0, 11.0
14.5, 22.01, 218.5, 13.0
15.0, 22.0, 396.0, 17.0
15.5, 22.81, 201.5, 18.0
16.0, 24.39, 7.0, 18.0
16.5, 24.82, 146.5, 18.0
17.0, 24.41, 286.0, 18.0
17.5, 22.3, 0.0, 18.0
18.0, 22.01, 0.0, 18.0
18.5, 21.9, 0.0, 18.0
19.0, 21.98, 0.0, 18.0
19.5, 22.0, 0.0, 18.0
20.0, 22.83, 0.0, 18.0
20.5, 21.98, 0.0, 18.0
21.0, 21.96, 0.0, 18.0
21.5, 22.0, 0.0, 18.0
22.0, 22.4, 0.0, 18.0
22.5, 22.03, 0.0, 18.0
23.0, 21.6, 0.0, 18.0
23.5, 21.56, 0.0, 18.0
0.0, 21.4, 0.0, 18.0
0.5, 20.76, 0.0, 18.0
1.0, 20.33, 0.0, 18.0
1.5, 20.37, 0.0, 18.0
2.0, 17.89, 0.0, 18.0
2.5, 12.784, 0.0, 18.0
3.0, 11.928, 0.0, 18.0
3.5, 12.4, 0.0, 18.0
4.0, 11.344, 0.0, 18.0
4.5, 10.448, 0.0, 18.0
5.0, 10.504, 0.0, 18.0
5.5, 11.336, 0.5, 18.0
6.0, 12.736, 1.0, 18.0
6.5, 16.8, 2.0, 18.0
7.0, 17.27, 3.0, 18.0
7.5, 19.65, 3.0, 18.0
8.0, 21.23, 3.0, 18.0
8.5, 21.37, 3.0, 18.0
9.0, 22.01, 3.0, 18.0
9.5, 23.99, 3.0, 18.0
10.0, 22.17, 3.0, 18.0
10.5, 22.17, 2.5, 18.0
11.0, 24.13, 2.0, 18.0
11.5, 24.1, 5.0, 18.0
12.0, 22.07, 8.0, 18.0
12.5, 22.0, 5.0, 18.0
