Location, State, Year, Revenue Dollars Per MWh Solar, Average Storage Level
Sydney, nsw, 2005, 180.806369842, 0.247579057024
Sydney, nsw, 2006, 111.141525269, 0.306299589018
Sydney, nsw, 2007, 184.627697955, 0.384175752041
Sydney, nsw, 2008, 143.631431941, 0.385114134457
Sydney, nsw, 2009, 183.430481674, 0.35791212398
Sydney, nsw, 2010, 134.947844813, 0.146173440265
Sydney, nsw, 2011, 195.117650611, 0.0617108567841
Adelaide, sa, 2005, 117.83935071, 0.503272875164
Adelaide, sa, 2006, 139.651179124, 0.484669501684
Adelaide, sa, 2007, 184.277225204, 0.479861150751
Adelaide, sa, 2008, 360.73710675, 0.216292622531
Adelaide, sa, 2009, 303.479380359, 0.454283206804
Adelaide, sa, 2010, 223.85773999, 0.399338575261
Adelaide, sa, 2011, 154.144881653, 0.449404931788
Melbourne, vic, 2005, 100.692387284, 0.311082967064
Melbourne, vic, 2006, 144.034039145, 0.400102032079
Melbourne, vic, 2007, 222.998963478, 0.425826959301
Melbourne, vic, 2008, 132.165638114, 0.182877696818
Melbourne, vic, 2009, 170.716329564, 0.47345025401
Melbourne, vic, 2010, 199.106150722, 0.151715280553
Melbourne, vic, 2011, 106.985861322, 0.190351903647
Uni of Qld, qld, 2005, 103.796407208, 0.299650379588
Uni of Qld, qld, 2006, 99.9263482914, 0.407464752554
Uni of Qld, qld, 2007, 235.110823383, 0.463501769507
