Hour, Price, Sun, Charge
1.0, 20.34, 0.0, 0.0
1.5, 16.81, 0.0, 0.0
2.0, 10.968, 0.0, 0.0
2.5, 10.344, 0.0, 0.0
3.0, 9.256, 0.0, 0.0
3.5, 7.864, 0.0, 0.0
4.0, 7.704, 0.0, 0.0
4.5, 8.096, 0.0, 0.0
5.0, 7.976, 0.0, 0.0
5.5, 8.376, 0.0, 0.0
6.0, 8.352, 67.0, 0.0
6.5, 8.776, 410.5, 0.0
7.0, 10.312, 754.0, 0.0
7.5, 9.608, 805.5, 0.0
8.0, 9.184, 857.0, 0.0
8.5, 8.704, 545.0, 0.0
9.0, 8.72, 233.0, 0.0
9.5, 9.208, 307.5, 0.0
10.0, 9.168, 382.0, 0.0
10.5, 9.784, 566.0, 0.0
11.0, 11.792, 750.0, 0.0
11.5, 12.24, 863.5, 0.0
12.0, 10.544, 977.0, 0.0
12.5, 10.36, 992.5, 0.0
13.0, 9.056, 1008.0, 0.0
13.5, 9.632, 1014.0, 0.0
14.0, 8.88, 1020.0, 0.0
14.5, 10.512, 1014.5, 0.0
15.0, 18.8, 1009.0, 0.0
15.5, 23.58, 991.5, 0.0
16.0, 29.832, 974.0, 0.0
16.5, 19.24, 932.5, 0.0
17.0, 9.696, 891.0, 0.0
17.5, 9.416, 801.5, 0.0
18.0, 29.976, 712.0, 0.0
18.5, 19.68, 0.0, 0.0
19.0, 16.99, 0.0, 0.0
19.5, 17.13, 0.0, 0.0
20.0, 19.67, 0.0, 0.0
20.5, 23.63, 0.0, 0.0
21.0, 20.62, 0.0, 0.0
21.5, 18.42, 0.0, 0.0
22.0, 16.43, 0.0, 0.0
22.5, 11.288, 0.0, 0.0
23.0, 11.432, 0.0, 0.0
23.5, 18.56, 0.0, 0.0
0.0, 20.36, 0.0, 0.0
0.5, 16.48, 0.0, 0.0
1.0, 11.048, 0.0, 0.0
1.5, 11.448, 0.0, 0.0
2.0, 9.032, 0.0, 0.0
2.5, 7.96, 0.0, 0.0
3.0, 7.496, 0.0, 0.0
3.5, 4.64, 0.0, 0.0
4.0, 3.808, 0.0, 0.0
4.5, 6.224, 0.0, 0.0
5.0, 6.992, 0.0, 0.0
5.5, 8.392, 0.0, 0.0
6.0, 10.448, 613.0, 0.0
6.5, 10.824, 741.5, 0.0
7.0, 17.67, 870.0, 0.0
7.5, 19.05, 915.5, 0.0
8.0, 20.21, 961.0, 0.0
8.5, 19.84, 951.0, 0.0
9.0, 19.47, 941.0, 0.0
9.5, 19.98, 976.0, 0.0
10.0, 20.16, 1011.0, 0.0
10.5, 20.2, 1012.0, 0.0
11.0, 20.22, 1013.0, 0.0
11.5, 20.55, 1011.0, 0.0
12.0, 20.66, 1009.0, 0.0
12.5, 21.08, 1015.5, 0.0
13.0, 20.92, 1022.0, 0.0
13.5, 20.28, 1022.0, 0.0
14.0, 20.5, 1022.0, 0.0
14.5, 20.66, 1014.5, 0.0
15.0, 20.4, 1007.0, 0.0
15.5, 20.05, 988.0, 0.0
16.0, 20.06, 969.0, 0.0
16.5, 20.35, 925.0, 0.0
17.0, 20.3, 881.0, 0.0
17.5, 20.41, 789.0, 0.0
18.0, 20.05, 697.0, 0.0
18.5, 20.4, 0.0, 0.0
19.0, 20.06, 0.0, 0.0
19.5, 19.57, 0.0, 0.0
20.0, 20.49, 0.0, 0.0
20.5, 21.8, 0.0, 0.0
21.0, 21.77, 0.0, 0.0
21.5, 21.44, 0.0, 0.0
22.0, 20.58, 0.0, 0.0
22.5, 23.03, 0.0, 0.0
23.0, 19.86, 0.0, 0.0
23.5, 20.88, 0.0, 0.0
0.0, 22.05, 0.0, 0.0
0.5, 19.95, 0.0, 0.0
1.0, 16.62, 0.0, 0.0
1.5, 16.7, 0.0, 0.0
2.0, 9.664, 0.0, 0.0
2.5, 8.76, 0.0, 0.0
3.0, 8.424, 0.0, 0.0
3.5, 7.56, 0.0, 0.0
4.0, 7.432, 0.0, 0.0
4.5, 8.072, 0.0, 0.0
5.0, 7.656, 0.0, 0.0
5.5, 7.952, 0.0, 0.0
6.0, 8.624, 674.0, 0.0
6.5, 10.952, 773.0, 0.0
7.0, 12.832, 872.0, 0.0
7.5, 19.58, 916.5, 0.0
8.0, 21.16, 961.0, 0.0
8.5, 22.65, 981.0, 0.0
9.0, 23.01, 1001.0, 0.0
9.5, 23.26, 1010.0, 0.0
10.0, 23.64, 1019.0, 0.0
10.5, 24.11, 1017.5, 0.0
11.0, 29.376, 1016.0, 0.0
11.5, 29.784, 1011.0, 0.0
12.0, 29.58, 1006.0, 0.0
12.5, 29.316, 969.0, 0.0
13.0, 24.05, 932.0, 0.0
13.5, 29.664, 975.0, 0.0
14.0, 29.652, 1018.0, 0.0
14.5, 24.01, 1015.0, 0.0
15.0, 29.412, 1012.0, 0.0
15.5, 29.52, 994.5, 0.0
16.0, 30.096, 977.0, 0.0
16.5, 30.684, 933.5, 0.0
17.0, 30.828, 890.0, 0.0
17.5, 30.732, 800.0, 0.0
18.0, 30.612, 710.0, 0.0
18.5, 29.64, 0.0, 0.0
19.0, 29.808, 0.0, 0.0
19.5, 23.93, 0.0, 0.0
20.0, 23.45, 0.0, 0.0
20.5, 23.07, 0.0, 0.0
21.0, 23.1, 0.0, 0.0
21.5, 22.39, 0.0, 0.0
