Hour, Price, Sun, Charge
1.0, 19.4, 0.0, 0.0
1.5, 19.63, 0.0, 0.0
2.0, 17.05, 0.0, 0.0
2.5, 15.84, 0.0, 0.0
3.0, 12.128, 0.0, 0.0
3.5, 10.728, 0.0, 0.0
4.0, 9.28, 0.0, 0.0
4.5, 10.608, 0.0, 0.0
5.0, 10.6, 0.0, 0.0
5.5, 8.328, 0.0, 0.0
6.0, 10.68, 0.0, 0.0
6.5, 11.664, 3.5, 0.0
7.0, 12.176, 7.0, 0.0
7.5, 12.392, 4.5, 0.0
8.0, 17.9, 2.0, 0.0
8.5, 18.78, 2.5, 0.0
9.0, 19.03, 3.0, 0.0
9.5, 19.23, 2.0, 0.0
10.0, 19.82, 1.0, 0.0
10.5, 19.57, 2.0, 0.0
11.0, 19.75, 3.0, 0.0
11.5, 19.6, 2.0, 0.0
12.0, 19.95, 1.0, 0.0
12.5, 19.79, 2.5, 0.0
13.0, 19.37, 4.0, 0.0
13.5, 19.71, 6.0, 0.0
14.0, 19.28, 8.0, 0.0
14.5, 19.44, 22.5, 0.0
15.0, 19.41, 37.0, 0.0
15.5, 19.36, 36.5, 0.0
16.0, 19.7, 36.0, 0.0
16.5, 20.07, 19.0, 0.0
17.0, 21.12, 2.0, 0.0
17.5, 22.13, 1.0, 0.0
18.0, 22.02, 0.0, 0.0
18.5, 21.01, 0.0, 0.0
19.0, 20.29, 0.0, 0.0
19.5, 20.18, 0.0, 0.0
20.0, 20.08, 0.0, 0.0
20.5, 20.36, 0.0, 0.0
21.0, 20.07, 0.0, 0.0
21.5, 19.97, 0.0, 0.0
22.0, 18.84, 0.0, 0.0
22.5, 17.55, 0.0, 0.0
23.0, 11.64, 0.0, 0.0
23.5, 18.27, 0.0, 0.0
0.0, 18.44, 0.0, 0.0
0.5, 17.87, 0.0, 0.0
1.0, 11.04, 0.0, 0.0
1.5, 11.472, 0.0, 0.0
2.0, 10.312, 0.0, 0.0
2.5, 9.232, 0.0, 0.0
3.0, 8.736, 0.0, 0.0
3.5, 8.712, 0.0, 0.0
4.0, 8.664, 0.0, 0.0
4.5, 7.544, 0.0, 0.0
5.0, 7.168, 0.0, 0.0
5.5, 8.96, 0.5, 0.0
6.0, 9.2, 1.0, 0.0
6.5, 9.592, 12.5, 0.0
7.0, 9.624, 24.0, 0.0
7.5, 10.896, 20.5, 0.0
