Hour, Price, Sun, Charge
1.0, 15.5, 0.0, 0.0
1.5, 15.57, 0.0, 0.0
2.0, 15.02, 0.0, 0.0
2.5, 14.98, 0.0, 0.0
3.0, 14.55, 0.0, 0.0
3.5, 14.81, 0.0, 0.0
4.0, 13.65, 0.0, 0.0
4.5, 13.93, 0.0, 0.0
5.0, 14.75, 55.0, 0.0
5.5, 9.6, 42.0, 0.0
6.0, 9.6, 29.0, 0.0
6.5, 12.73, 18.0, 0.0
7.0, 13.39, 7.0, 0.0
7.5, 14.67, 11.5, 0.0
8.0, 14.82, 16.0, 0.0
8.5, 15.05, 14.0, 0.0
9.0, 15.03, 12.0, 0.0
9.5, 15.02, 119.5, 0.0
10.0, 15.75, 227.0, 0.0
10.5, 17.5, 417.5, 0.0
11.0, 17.5, 608.0, 0.0
11.5, 17.5, 588.0, 0.0
12.0, 17.5, 568.0, 0.0
12.5, 17.53, 618.5, 0.0
13.0, 17.5, 669.0, 0.0
13.5, 17.5, 716.5, 0.0
14.0, 17.5, 764.0, 0.0
14.5, 17.5, 756.0, 0.0
15.0, 17.5, 748.0, 0.0
15.5, 17.5, 548.0, 0.0
16.0, 17.5, 348.0, 0.0
16.5, 17.62, 396.5, 0.0
17.0, 22.452, 445.0, 0.0
17.5, 18.06, 0.0, 0.0
18.0, 17.67, 0.0, 0.0
18.5, 17.5, 0.0, 0.0
19.0, 17.5, 0.0, 0.0
19.5, 17.5, 0.0, 0.0
20.0, 17.5, 0.0, 0.0
20.5, 17.42, 0.0, 0.0
21.0, 16.07, 0.0, 0.0
21.5, 15.73, 0.0, 0.0
22.0, 14.98, 0.0, 0.0
22.5, 16.1, 0.0, 0.0
23.0, 15.96, 0.0, 0.0
23.5, 16.93, 0.0, 0.0
0.0, 16.32, 0.0, 0.0
0.5, 14.84, 0.0, 0.0
1.0, 15.01, 0.0, 0.0
1.5, 15.09, 0.0, 0.0
2.0, 14.84, 0.0, 0.0
2.5, 9.544, 0.0, 0.0
3.0, 9.528, 0.0, 0.0
3.5, 8.784, 0.0, 0.0
4.0, 8.64, 0.0, 0.0
4.5, 13.89, 0.0, 0.0
5.0, 14.88, 3.0, 0.0
5.5, 14.99, 2.0, 0.0
6.0, 15.02, 1.0, 0.0
6.5, 15.7, 10.5, 0.0
7.0, 16.09, 20.0, 0.0
7.5, 17.5, 32.0, 0.0
8.0, 17.1, 44.0, 0.0
8.5, 23.376, 112.5, 0.0
9.0, 26.268, 181.0, 0.0
9.5, 29.364, 356.5, 0.0
10.0, 31.932, 532.0, 0.0
10.5, 36.012, 569.5, 0.0
11.0, 36.012, 607.0, 0.0
11.5, 36.024, 598.5, 0.0
12.0, 35.808, 590.0, 0.0
12.5, 35.688, 561.5, 0.0
13.0, 35.352, 533.0, 0.0
13.5, 35.34, 430.5, 0.0
14.0, 35.844, 328.0, 0.0
14.5, 34.452, 310.0, 0.0
15.0, 33.276, 292.0, 0.0
15.5, 29.076, 220.5, 0.0
16.0, 29.088, 149.0, 0.0
16.5, 34.98, 75.0, 0.0
17.0, 34.728, 1.0, 0.0
17.5, 29.316, 0.0, 0.0
18.0, 27.18, 0.0, 0.0
18.5, 28.428, 0.0, 0.0
19.0, 26.676, 0.0, 0.0
19.5, 27.792, 0.0, 0.0
20.0, 27.276, 0.0, 0.0
20.5, 27.012, 0.0, 0.0
21.0, 25.296, 0.0, 0.0
21.5, 23.304, 0.0, 0.0
22.0, 17.88, 0.0, 0.0
22.5, 24.444, 0.0, 0.0
23.0, 22.32, 0.0, 0.0
23.5, 25.236, 0.0, 0.0
0.0, 23.412, 0.0, 0.0
0.5, 17.33, 0.0, 0.0
1.0, 15.35, 0.0, 0.0
1.5, 15.93, 0.0, 0.0
2.0, 15.02, 0.0, 0.0
2.5, 14.67, 0.0, 0.0
3.0, 13.52, 0.0, 0.0
3.5, 13.37, 0.0, 0.0
4.0, 14.12, 0.0, 0.0
4.5, 14.84, 0.0, 0.0
5.0, 14.82, 321.0, 0.0
5.5, 15.12, 166.5, 0.0
6.0, 15.26, 12.0, 0.0
6.5, 16.36, 237.0, 0.0
7.0, 17.5, 462.0, 0.0
7.5, 18.48, 447.5, 0.0
8.0, 25.332, 433.0, 0.0
8.5, 26.436, 489.0, 0.0
9.0, 26.52, 545.0, 0.0
9.5, 29.196, 612.0, 0.0
10.0, 30.6, 679.0, 0.0
10.5, 33.264, 527.0, 0.0
11.0, 34.716, 375.0, 0.0
11.5, 35.124, 247.0, 0.0
12.0, 34.776, 119.0, 0.0
12.5, 34.056, 237.5, 0.0
13.0, 34.26, 356.0, 0.0
13.5, 34.488, 186.0, 0.0
14.0, 31.86, 16.0, 0.0
14.5, 33.492, 22.5, 0.0
15.0, 33.564, 29.0, 0.0
15.5, 34.008, 329.5, 0.0
16.0, 34.272, 630.0, 0.0
16.5, 33.6, 501.5, 0.0
17.0, 32.052, 373.0, 0.0
17.5, 27.336, 0.0, 0.0
18.0, 26.76, 0.0, 0.0
18.5, 27.348, 0.0, 0.0
19.0, 24.912, 0.0, 0.0
19.5, 25.392, 0.0, 0.0
20.0, 25.128, 0.0, 0.0
20.5, 24.576, 0.0, 0.0
21.0, 23.232, 0.0, 0.0
21.5, 22.632, 0.0, 0.0
22.0, 17.7, 0.0, 0.0
22.5, 22.44, 0.0, 0.0
23.0, 17.6, 0.0, 0.0
23.5, 23.844, 0.0, 0.0
0.0, 18.28, 0.0, 0.0
0.5, 15.9, 0.0, 0.0
1.0, 15.02, 0.0, 0.0
1.5, 15.91, 0.0, 0.0
2.0, 14.87, 0.0, 0.0
2.5, 14.21, 0.0, 0.0
3.0, 9.68, 0.0, 0.0
3.5, 9.376, 0.0, 0.0
4.0, 9.504, 0.0, 0.0
4.5, 13.7, 0.0, 0.0
5.0, 14.65, 47.0, 0.0
5.5, 15.04, 83.5, 0.0
6.0, 15.66, 120.0, 0.0
6.5, 16.7, 67.5, 0.0
7.0, 17.76, 15.0, 0.0
7.5, 23.232, 268.0, 0.0
8.0, 24.66, 521.0, 0.0
8.5, 26.46, 562.5, 0.0
9.0, 33.612, 604.0, 0.0
9.5, 36.132, 732.5, 0.0
10.0, 36.264, 861.0, 0.0
10.5, 36.12, 872.0, 0.0
11.0, 36.012, 883.0, 0.0
11.5, 36.024, 888.5, 0.0
12.0, 36.036, 894.0, 0.0
12.5, 36.012, 870.5, 0.0
13.0, 36.012, 847.0, 0.0
13.5, 35.868, 881.5, 0.0
14.0, 39.588, 916.0, 0.0
14.5, 41.58, 907.5, 0.0
15.0, 41.844, 899.0, 0.0
15.5, 41.904, 871.0, 0.0
16.0, 42.024, 843.0, 0.0
16.5, 46.764, 748.0, 0.0
17.0, 45.24, 653.0, 0.0
17.5, 40.032, 0.0, 0.0
18.0, 39.876, 0.0, 0.0
18.5, 37.296, 0.0, 0.0
19.0, 37.044, 0.0, 0.0
19.5, 36.012, 0.0, 0.0
20.0, 38.208, 0.0, 0.0
20.5, 38.508, 0.0, 0.0
21.0, 33.888, 0.0, 0.0
21.5, 33.12, 0.0, 0.0
22.0, 26.604, 0.0, 0.0
22.5, 31.836, 0.0, 0.0
23.0, 33.324, 0.0, 0.0
23.5, 36.252, 0.0, 0.0
0.0, 27.54, 0.0, 0.0
0.5, 18.49, 0.0, 0.0
1.0, 17.3, 0.0, 0.0
1.5, 17.28, 0.0, 0.0
2.0, 15.02, 0.0, 0.0
2.5, 15.02, 0.0, 0.0
3.0, 14.96, 0.0, 0.0
3.5, 14.95, 0.0, 0.0
4.0, 14.97, 0.0, 0.0
4.5, 15.02, 0.0, 0.0
5.0, 15.13, 625.0, 0.0
5.5, 16.13, 711.5, 0.0
6.0, 16.43, 798.0, 0.0
6.5, 17.51, 853.0, 0.0
7.0, 24.816, 908.0, 0.0
7.5, 30.168, 933.0, 0.0
8.0, 30.648, 958.0, 0.0
8.5, 36.504, 969.5, 0.0
9.0, 41.916, 981.0, 0.0
9.5, 42.288, 973.0, 0.0
10.0, 41.664, 965.0, 0.0
10.5, 42.228, 953.5, 0.0
11.0, 42.408, 942.0, 0.0
11.5, 42.288, 946.0, 0.0
12.0, 41.748, 950.0, 0.0
12.5, 42.276, 919.5, 0.0
13.0, 42.828, 889.0, 0.0
13.5, 54.936, 926.5, 0.0
14.0, 74.724, 964.0, 0.0
14.5, 71.34, 957.5, 0.0
15.0, 69.552, 951.0, 0.0
15.5, 73.608, 911.0, 0.0
16.0, 81.732, 871.0, 0.0
16.5, 70.908, 768.0, 0.0
17.0, 67.872, 665.0, 0.0
17.5, 46.164, 0.0, 0.0
18.0, 37.92, 0.0, 0.0
18.5, 42.144, 0.0, 0.0
19.0, 37.824, 0.0, 0.0
19.5, 42.108, 0.0, 0.0
20.0, 47.268, 0.0, 0.0
20.5, 47.076, 0.0, 0.0
21.0, 41.952, 0.0, 0.0
21.5, 40.992, 0.0, 0.0
22.0, 36.54, 0.0, 0.0
22.5, 37.632, 0.0, 0.0
23.0, 39.444, 0.0, 0.0
23.5, 37.932, 0.0, 0.0
0.0, 35.28, 0.0, 0.0
0.5, 29.748, 0.0, 0.0
1.0, 26.1, 0.0, 0.0
1.5, 26.496, 0.0, 0.0
2.0, 17.61, 0.0, 0.0
2.5, 15.89, 0.0, 0.0
3.0, 15.02, 0.0, 0.0
3.5, 15.02, 0.0, 0.0
4.0, 14.92, 0.0, 0.0
4.5, 15.18, 0.0, 0.0
5.0, 15.02, 502.0, 0.0
5.5, 15.65, 635.5, 0.0
6.0, 15.48, 769.0, 0.0
6.5, 16.0, 828.0, 0.0
7.0, 17.5, 887.0, 0.0
7.5, 25.02, 913.0, 0.0
8.0, 32.748, 939.0, 0.0
8.5, 36.192, 945.0, 0.0
9.0, 36.12, 951.0, 0.0
9.5, 38.028, 940.5, 0.0
10.0, 42.084, 930.0, 0.0
10.5, 43.044, 899.5, 0.0
11.0, 62.952, 869.0, 0.0
11.5, 67.464, 882.5, 0.0
12.0, 67.464, 896.0, 0.0
12.5, 67.896, 880.0, 0.0
13.0, 67.98, 864.0, 0.0
13.5, 72.612, 879.5, 0.0
14.0, 67.668, 895.0, 0.0
14.5, 68.04, 876.0, 0.0
15.0, 67.776, 857.0, 0.0
15.5, 68.064, 834.0, 0.0
16.0, 67.272, 811.0, 0.0
16.5, 64.56, 524.5, 0.0
17.0, 47.064, 238.0, 0.0
17.5, 41.58, 0.0, 0.0
18.0, 37.356, 0.0, 0.0
18.5, 36.024, 0.0, 0.0
19.0, 36.012, 0.0, 0.0
19.5, 35.7, 0.0, 0.0
20.0, 36.576, 0.0, 0.0
20.5, 36.264, 0.0, 0.0
21.0, 34.452, 0.0, 0.0
21.5, 32.58, 0.0, 0.0
22.0, 26.256, 0.0, 0.0
22.5, 25.788, 0.0, 0.0
23.0, 25.668, 0.0, 0.0
23.5, 28.068, 0.0, 0.0
0.0, 27.708, 0.0, 0.0
0.5, 23.496, 0.0, 0.0
1.0, 18.16, 0.0, 0.0
1.5, 18.01, 0.0, 0.0
2.0, 16.24, 0.0, 0.0
2.5, 15.11, 0.0, 0.0
3.0, 15.02, 0.0, 0.0
3.5, 15.02, 0.0, 0.0
4.0, 15.09, 0.0, 0.0
4.5, 15.1, 0.0, 0.0
5.0, 15.02, 0.0, 0.0
5.5, 15.02, 7.0, 0.0
6.0, 15.02, 14.0, 0.0
6.5, 15.02, 14.5, 0.0
7.0, 15.09, 15.0, 0.0
7.5, 16.55, 9.0, 0.0
8.0, 17.19, 3.0, 0.0
8.5, 17.98, 25.0, 0.0
9.0, 24.696, 47.0, 0.0
9.5, 25.284, 24.5, 0.0
10.0, 29.664, 2.0, 0.0
10.5, 30.348, 15.0, 0.0
11.0, 30.0, 28.0, 0.0
11.5, 30.0, 28.0, 0.0
12.0, 26.112, 28.0, 0.0
12.5, 24.228, 15.5, 0.0
13.0, 23.76, 3.0, 0.0
