Hour, Price, Sun, Charge
1.0, 23.01, 0.0, 0.0
1.5, 22.78, 0.0, 0.0
2.0, 20.47, 0.0, 0.0
2.5, 19.24, 0.0, 0.0
3.0, 19.75, 0.0, 0.0
3.5, 13.872, 0.0, 0.0
4.0, 13.88, 0.0, 0.0
4.5, 13.776, 0.0, 0.0
5.0, 13.176, 0.0, 0.0
5.5, 12.736, 1.0, 0.0
6.0, 12.672, 2.0, 0.0
6.5, 13.536, 6.5, 0.0
7.0, 18.72, 11.0, 0.0
7.5, 14.664, 10.5, 0.0
8.0, 14.336, 10.0, 0.0
8.5, 20.37, 11.0, 0.0
9.0, 22.25, 12.0, 0.0
9.5, 22.28, 22.0, 0.0
10.0, 22.61, 32.0, 0.0
10.5, 22.76, 22.0, 0.0
11.0, 22.78, 12.0, 0.0
11.5, 24.57, 8.5, 0.0
12.0, 22.06, 5.0, 0.0
12.5, 22.78, 5.5, 0.0
13.0, 22.7, 6.0, 0.0
13.5, 23.21, 3.5, 0.0
14.0, 23.19, 1.0, 0.0
14.5, 24.1, 1.5, 0.0
15.0, 24.87, 2.0, 0.0
15.5, 25.8, 12.5, 0.0
16.0, 26.87, 23.0, 0.0
16.5, 27.12, 11.5, 0.0
17.0, 35.328, 0.0, 0.0
17.5, 23.71, 0.0, 0.0
18.0, 25.63, 0.0, 0.0
18.5, 23.9, 0.0, 0.0
19.0, 24.25, 0.0, 0.0
19.5, 24.87, 0.0, 0.0
20.0, 35.46, 0.0, 0.0
20.5, 33.792, 0.0, 0.0
21.0, 26.89, 0.0, 0.0
21.5, 24.98, 0.0, 0.0
22.0, 24.12, 0.0, 0.0
22.5, 27.43, 0.0, 0.0
23.0, 24.84, 0.0, 0.0
23.5, 24.53, 0.0, 0.0
0.0, 22.65, 0.0, 0.0
0.5, 21.19, 0.0, 0.0
1.0, 19.78, 0.0, 0.0
1.5, 14.688, 0.0, 0.0
2.0, 14.192, 0.0, 0.0
2.5, 14.064, 0.0, 0.0
3.0, 13.888, 0.0, 0.0
3.5, 13.168, 0.0, 0.0
4.0, 13.304, 0.0, 0.0
4.5, 13.512, 0.0, 0.0
5.0, 12.752, 1.0, 0.0
5.5, 11.64, 133.5, 0.0
6.0, 12.232, 266.0, 0.0
6.5, 14.016, 479.5, 0.0
7.0, 19.32, 693.0, 0.0
7.5, 20.1, 541.5, 0.0
8.0, 22.32, 390.0, 0.0
8.5, 23.79, 414.0, 0.0
9.0, 24.55, 438.0, 0.0
9.5, 25.5, 403.0, 0.0
10.0, 26.39, 368.0, 0.0
10.5, 27.05, 371.5, 0.0
11.0, 33.996, 375.0, 0.0
11.5, 33.492, 549.5, 0.0
12.0, 33.732, 724.0, 0.0
12.5, 27.5, 776.5, 0.0
13.0, 34.92, 829.0, 0.0
13.5, 35.88, 790.0, 0.0
14.0, 36.792, 751.0, 0.0
14.5, 36.492, 661.5, 0.0
15.0, 36.996, 572.0, 0.0
15.5, 35.88, 622.0, 0.0
16.0, 27.41, 672.0, 0.0
16.5, 26.48, 542.5, 0.0
17.0, 26.94, 413.0, 0.0
17.5, 26.6, 0.0, 0.0
18.0, 27.26, 0.0, 0.0
18.5, 33.276, 0.0, 0.0
19.0, 27.27, 0.0, 0.0
19.5, 27.33, 0.0, 0.0
20.0, 26.87, 0.0, 0.0
20.5, 26.49, 0.0, 0.0
21.0, 25.97, 0.0, 0.0
21.5, 25.42, 0.0, 0.0
22.0, 25.18, 0.0, 0.0
22.5, 26.3, 0.0, 0.0
23.0, 23.86, 0.0, 0.0
23.5, 23.74, 0.0, 0.0
0.0, 21.09, 0.0, 0.0
0.5, 20.29, 0.0, 0.0
1.0, 18.78, 0.0, 0.0
1.5, 19.28, 0.0, 0.0
2.0, 14.472, 0.0, 0.0
2.5, 14.528, 0.0, 0.0
3.0, 13.72, 0.0, 0.0
3.5, 13.4, 0.0, 0.0
4.0, 13.448, 0.0, 0.0
4.5, 13.496, 0.0, 0.0
5.0, 13.376, 105.0, 0.0
5.5, 13.728, 57.0, 0.0
6.0, 13.944, 9.0, 0.0
6.5, 14.376, 152.5, 0.0
7.0, 18.54, 296.0, 0.0
7.5, 18.99, 348.0, 0.0
8.0, 21.54, 400.0, 0.0
8.5, 24.21, 347.5, 0.0
9.0, 25.35, 295.0, 0.0
9.5, 26.11, 258.5, 0.0
10.0, 26.64, 222.0, 0.0
10.5, 26.53, 153.0, 0.0
11.0, 26.78, 84.0, 0.0
11.5, 26.97, 110.0, 0.0
12.0, 27.24, 136.0, 0.0
12.5, 33.144, 81.0, 0.0
13.0, 34.272, 26.0, 0.0
13.5, 35.76, 13.5, 0.0
14.0, 35.964, 1.0, 0.0
14.5, 33.984, 6.0, 0.0
15.0, 33.708, 11.0, 0.0
15.5, 33.576, 8.5, 0.0
16.0, 34.188, 6.0, 0.0
16.5, 34.464, 114.0, 0.0
17.0, 36.636, 222.0, 0.0
17.5, 33.636, 0.0, 0.0
18.0, 26.76, 0.0, 0.0
18.5, 26.88, 0.0, 0.0
19.0, 26.93, 0.0, 0.0
19.5, 27.44, 0.0, 0.0
20.0, 33.3, 0.0, 0.0
20.5, 26.84, 0.0, 0.0
21.0, 26.25, 0.0, 0.0
21.5, 26.26, 0.0, 0.0
22.0, 23.46, 0.0, 0.0
22.5, 23.88, 0.0, 0.0
23.0, 22.84, 0.0, 0.0
23.5, 23.91, 0.0, 0.0
0.0, 21.91, 0.0, 0.0
0.5, 21.06, 0.0, 0.0
1.0, 19.89, 0.0, 0.0
1.5, 21.43, 0.0, 0.0
2.0, 19.95, 0.0, 0.0
2.5, 19.24, 0.0, 0.0
3.0, 14.336, 0.0, 0.0
3.5, 14.304, 0.0, 0.0
4.0, 14.232, 0.0, 0.0
4.5, 14.456, 0.0, 0.0
5.0, 19.56, 204.0, 0.0
5.5, 19.0, 120.0, 0.0
6.0, 20.66, 36.0, 0.0
6.5, 22.87, 326.0, 0.0
