Hour, Price, Sun, Charge
1.0, 22.19, 0.0, 0.0
1.5, 23.13, 0.0, 0.0
2.0, 20.43, 0.0, 0.0
2.5, 18.82, 0.0, 0.0
3.0, 18.29, 0.0, 0.0
3.5, 12.6, 0.0, 0.0
4.0, 10.72, 0.0, 0.0
4.5, 11.072, 0.0, 0.0
5.0, 10.696, 0.0, 0.0
5.5, 12.936, 0.0, 0.0
6.0, 11.992, 3.0, 0.0
6.5, 12.552, 12.0, 0.0
7.0, 12.672, 21.0, 0.0
7.5, 12.616, 177.5, 0.0
8.0, 12.184, 334.0, 0.0
8.5, 18.71, 558.0, 0.0
9.0, 12.784, 782.0, 0.0
9.5, 12.936, 807.5, 0.0
10.0, 13.216, 833.0, 0.0
10.5, 19.34, 756.5, 0.0
11.0, 19.23, 680.0, 0.0
11.5, 19.54, 350.5, 0.0
12.0, 19.34, 21.0, 0.0
12.5, 18.62, 11.0, 0.0
13.0, 12.648, 1.0, 0.0
13.5, 9.52, 6.5, 0.0
14.0, 7.64, 12.0, 0.0
14.5, 8.032, 344.5, 5.0
15.0, 13.688, 677.0, 5.0
15.5, 13.776, 742.5, 5.0
16.0, 13.944, 808.0, 5.0
16.5, 20.28, 752.0, 5.0
17.0, 22.16, 696.0, 5.0
17.5, 19.53, 551.0, 5.0
18.0, 23.9, 406.0, 5.0
18.5, 24.25, 0.0, 5.0
19.0, 22.8, 0.0, 5.0
19.5, 22.52, 0.0, 5.0
20.0, 25.97, 0.0, 5.0
20.5, 24.67, 0.0, 5.0
21.0, 23.75, 0.0, 5.0
21.5, 22.12, 0.0, 5.0
22.0, 21.02, 0.0, 5.0
22.5, 22.63, 0.0, 5.0
23.0, 21.02, 0.0, 5.0
23.5, 21.61, 0.0, 5.0
0.0, 21.42, 0.0, 5.0
0.5, 18.95, 0.0, 5.0
1.0, 17.91, 0.0, 5.0
1.5, 17.77, 0.0, 5.0
2.0, 13.552, 0.0, 5.0
2.5, 13.28, 0.0, 5.0
3.0, 13.008, 0.0, 5.0
3.5, 12.376, 0.0, 5.0
4.0, 12.288, 0.0, 5.0
4.5, 12.296, 0.0, 5.0
5.0, 11.472, 0.0, 5.0
5.5, 8.296, 0.0, 5.0
6.0, 8.152, 594.0, 10.0
6.5, 9.144, 706.5, 10.0
7.0, 10.64, 819.0, 10.0
7.5, 11.144, 876.0, 10.0
8.0, 12.496, 933.0, 10.0
8.5, 13.432, 956.5, 10.0
9.0, 19.38, 980.0, 10.0
9.5, 19.57, 988.0, 10.0
10.0, 19.92, 996.0, 10.0
10.5, 21.16, 995.0, 10.0
11.0, 22.2, 994.0, 10.0
11.5, 22.24, 991.5, 10.0
12.0, 22.61, 989.0, 10.0
12.5, 21.45, 995.0, 10.0
13.0, 20.54, 1001.0, 10.0
13.5, 20.75, 1003.5, 10.0
14.0, 20.97, 1006.0, 10.0
14.5, 21.48, 1000.0, 10.0
15.0, 21.14, 994.0, 10.0
15.5, 21.31, 974.0, 10.0
16.0, 20.9, 954.0, 10.0
16.5, 20.56, 907.0, 10.0
17.0, 20.91, 860.0, 10.0
17.5, 20.81, 741.5, 10.0
18.0, 21.21, 623.0, 10.0
18.5, 20.83, 0.0, 10.0
19.0, 19.94, 0.0, 10.0
19.5, 19.69, 0.0, 10.0
20.0, 19.7, 0.0, 10.0
20.5, 20.05, 0.0, 10.0
21.0, 20.59, 0.0, 10.0
21.5, 20.21, 0.0, 10.0
22.0, 19.82, 0.0, 10.0
22.5, 18.6, 0.0, 10.0
23.0, 13.264, 0.0, 10.0
23.5, 13.136, 0.0, 10.0
0.0, 14.104, 0.0, 10.0
0.5, 13.104, 0.0, 10.0
1.0, 11.96, 0.0, 10.0
1.5, 12.568, 0.0, 10.0
2.0, 5.488, 0.0, 10.0
2.5, 2.464, 0.0, 10.0
3.0, 11.024, 0.0, 10.0
3.5, 8.712, 0.0, 10.0
4.0, 7.68, 0.0, 10.0
4.5, 8.808, 0.0, 10.0
5.0, 8.864, 0.0, 10.0
5.5, 7.336, 0.0, 10.0
6.0, 7.392, 610.0, 15.0
6.5, -12.144, 724.5, 22.0
7.0, 9.064, 839.0, 27.0
7.5, 9.256, 894.5, 27.0
8.0, 9.352, 950.0, 27.0
8.5, 12.088, 971.5, 27.0
9.0, 13.392, 993.0, 27.0
9.5, 19.82, 1002.5, 27.0
10.0, 20.22, 1012.0, 27.0
10.5, 20.48, 1012.0, 27.0
11.0, 20.92, 1012.0, 27.0
11.5, 21.28, 1010.0, 27.0
12.0, 21.45, 1008.0, 27.0
12.5, 21.26, 1013.5, 27.0
13.0, 21.56, 1019.0, 27.0
13.5, 21.74, 1020.5, 27.0
14.0, 20.86, 1022.0, 27.0
14.5, 20.84, 1013.5, 27.0
15.0, 20.99, 1005.0, 27.0
15.5, 21.23, 986.0, 27.0
16.0, 21.49, 967.0, 27.0
16.5, 22.17, 920.5, 27.0
17.0, 23.58, 874.0, 27.0
17.5, 22.45, 759.5, 27.0
18.0, 21.3, 645.0, 27.0
18.5, 20.22, 0.0, 27.0
19.0, 19.91, 0.0, 27.0
19.5, 19.68, 0.0, 27.0
20.0, 19.99, 0.0, 27.0
20.5, 20.21, 0.0, 27.0
21.0, 20.31, 0.0, 27.0
21.5, 19.62, 0.0, 27.0
22.0, 13.592, 0.0, 27.0
22.5, 13.944, 0.0, 27.0
23.0, 13.616, 0.0, 27.0
23.5, 19.2, 0.0, 27.0
0.0, 19.6, 0.0, 27.0
0.5, 18.32, 0.0, 27.0
1.0, 13.688, 0.0, 27.0
1.5, 18.42, 0.0, 27.0
2.0, 13.44, 0.0, 27.0
2.5, 12.944, 0.0, 27.0
3.0, 12.16, 0.0, 27.0
3.5, 12.104, 0.0, 27.0
4.0, 12.112, 0.0, 27.0
4.5, 12.288, 0.0, 27.0
5.0, 13.376, 0.0, 27.0
5.5, 13.128, 0.0, 27.0
6.0, 18.17, 227.0, 27.0
6.5, 19.6, 386.5, 27.0
7.0, 21.84, 546.0, 27.0
7.5, 22.52, 489.0, 27.0
8.0, 23.65, 432.0, 27.0
8.5, 32.472, 512.5, 27.0
9.0, 33.912, 593.0, 27.0
9.5, 33.96, 661.0, 27.0
10.0, 35.436, 729.0, 27.0
10.5, 36.468, 699.0, 27.0
11.0, 38.448, 669.0, 27.0
11.5, 40.716, 546.0, 27.0
12.0, 40.704, 423.0, 27.0
12.5, 36.312, 295.5, 27.0
13.0, 34.86, 168.0, 27.0
13.5, 32.916, 559.0, 27.0
14.0, 35.424, 950.0, 27.0
14.5, 35.628, 972.0, 27.0
15.0, 36.096, 994.0, 27.0
15.5, 36.78, 974.0, 27.0
16.0, 36.936, 954.0, 27.0
16.5, 37.08, 903.5, 27.0
17.0, 37.716, 853.0, 27.0
17.5, 37.356, 778.5, 27.0
18.0, 36.216, 704.0, 27.0
18.5, 25.14, 0.0, 27.0
19.0, 23.75, 0.0, 27.0
19.5, 24.49, 0.0, 27.0
20.0, 33.216, 0.0, 27.0
20.5, 33.348, 0.0, 27.0
21.0, 25.2, 0.0, 27.0
21.5, 24.61, 0.0, 27.0
22.0, 21.22, 0.0, 27.0
22.5, 22.2, 0.0, 27.0
23.0, 22.63, 0.0, 27.0
23.5, 23.77, 0.0, 27.0
0.0, 25.92, 0.0, 27.0
0.5, 24.46, 0.0, 27.0
1.0, 22.5, 0.0, 27.0
1.5, 22.63, 0.0, 27.0
2.0, 18.67, 0.0, 27.0
2.5, 19.12, 0.0, 27.0
3.0, 19.59, 0.0, 27.0
3.5, 18.96, 0.0, 27.0
4.0, 18.59, 0.0, 27.0
4.5, 18.34, 0.0, 27.0
5.0, 19.45, 0.0, 27.0
5.5, 20.75, 0.0, 27.0
6.0, 23.54, 5.0, 27.0
6.5, 24.22, 232.5, 27.0
7.0, 25.16, 460.0, 27.0
7.5, 24.76, 590.5, 27.0
8.0, 25.14, 721.0, 27.0
8.5, 33.324, 806.5, 27.0
9.0, 34.908, 892.0, 27.0
9.5, 34.836, 690.0, 27.0
10.0, 32.964, 488.0, 27.0
10.5, 34.68, 702.0, 27.0
11.0, 35.64, 916.0, 27.0
11.5, 35.676, 930.5, 27.0
12.0, 35.268, 945.0, 27.0
12.5, 33.204, 953.0, 27.0
13.0, 32.844, 961.0, 27.0
13.5, 33.36, 964.5, 27.0
14.0, 34.584, 968.0, 27.0
14.5, 34.86, 961.5, 27.0
15.0, 33.636, 955.0, 27.0
15.5, 26.21, 935.5, 27.0
16.0, 32.412, 916.0, 27.0
