Hour, Price, Sun, Charge
1.0, 15.24, 0.0, 0.0
1.5, 16.69, 0.0, 0.0
2.0, 15.3, 0.0, 0.0
2.5, 14.68, 0.0, 0.0
3.0, 13.91, 0.0, 0.0
3.5, 14.1, 0.0, 0.0
4.0, 12.86, 0.0, 0.0
4.5, 13.02, 0.0, 0.0
5.0, 13.82, 0.0, 0.0
5.5, 9.04, 2.0, 0.0
6.0, 8.856, 4.0, 0.0
6.5, 9.368, 3.0, 0.0
7.0, 12.22, 2.0, 0.0
7.5, 13.13, 7.5, 0.0
8.0, 13.0, 13.0, 0.0
8.5, 13.51, 9.0, 0.0
9.0, 13.84, 5.0, 0.0
9.5, 14.21, 3.5, 0.0
10.0, 15.33, 2.0, 0.0
10.5, 18.16, 44.0, 0.0
11.0, 21.96, 86.0, 1.0
11.5, 22.26, 44.0, 1.0
12.0, 22.428, 2.0, 1.0
12.5, 22.608, 13.0, 1.0
13.0, 22.704, 24.0, 1.0
13.5, 22.908, 17.0, 1.0
14.0, 22.692, 10.0, 1.0
14.5, 22.62, 160.0, 1.0
15.0, 22.488, 310.0, 5.0
15.5, 22.296, 421.5, 11.0
16.0, 22.584, 533.0, 11.0
16.5, 23.34, 497.5, 11.0
17.0, 25.164, 462.0, 11.0
17.5, 24.456, 320.0, 11.0
18.0, 23.736, 178.0, 11.0
18.5, 23.088, 0.0, 11.0
19.0, 22.332, 0.0, 11.0
19.5, 18.0, 0.0, 11.0
20.0, 17.97, 0.0, 11.0
20.5, 17.89, 0.0, 11.0
21.0, 16.24, 0.0, 11.0
21.5, 15.52, 0.0, 11.0
22.0, 14.23, 0.0, 11.0
22.5, 15.05, 0.0, 11.0
23.0, 14.76, 0.0, 11.0
23.5, 16.59, 0.0, 11.0
0.0, 16.15, 0.0, 11.0
0.5, 14.08, 0.0, 11.0
1.0, 14.04, 0.0, 11.0
1.5, 14.87, 0.0, 11.0
2.0, 13.99, 0.0, 11.0
2.5, 8.72, 0.0, 11.0
3.0, 8.528, 0.0, 11.0
3.5, 7.864, 0.0, 11.0
4.0, 7.72, 0.0, 11.0
