Hour, Price, Sun, Charge
1.0, 19.67, 0.0, 0.0
1.5, 16.61, 0.0, 0.0
2.0, 11.656, 0.0, 0.0
2.5, 11.096, 0.0, 0.0
3.0, 10.224, 0.0, 0.0
3.5, 8.904, 0.0, 0.0
4.0, 8.744, 0.0, 0.0
4.5, 9.6, 0.0, 0.0
5.0, 9.416, 587.0, 4.0
5.5, 9.6, 687.5, 10.0
6.0, 9.6, 788.0, 18.0
6.5, 10.808, 844.0, 27.0
7.0, 16.21, 900.0, 38.0
7.5, 18.74, 869.0, 38.0
8.0, 19.99, 838.0, 38.0
8.5, 22.0, 880.5, 38.0
9.0, 22.0, 923.0, 38.0
9.5, 22.56, 923.5, 38.0
10.0, 22.25, 924.0, 38.0
10.5, 22.75, 872.5, 38.0
11.0, 28.812, 821.0, 38.0
11.5, 32.232, 853.0, 38.0
12.0, 32.964, 885.0, 38.0
12.5, 34.824, 931.5, 38.0
13.0, 34.8, 978.0, 38.0
13.5, 41.592, 968.0, 38.0
14.0, 41.268, 958.0, 38.0
14.5, 42.54, 878.5, 38.0
15.0, 42.348, 799.0, 38.0
15.5, 41.988, 807.0, 38.0
16.0, 45.852, 815.0, 38.0
16.5, 38.424, 723.0, 38.0
17.0, 38.928, 631.0, 38.0
17.5, 37.068, 0.0, 38.0
18.0, 37.728, 0.0, 38.0
18.5, 36.264, 0.0, 38.0
19.0, 36.0, 0.0, 38.0
19.5, 36.0, 0.0, 38.0
20.0, 36.0, 0.0, 38.0
20.5, 34.764, 0.0, 38.0
21.0, 28.86, 0.0, 38.0
21.5, 22.11, 0.0, 38.0
22.0, 21.06, 0.0, 38.0
22.5, 22.55, 0.0, 38.0
23.0, 21.95, 0.0, 38.0
23.5, 22.0, 0.0, 38.0
0.0, 21.48, 0.0, 38.0
0.5, 17.77, 0.0, 38.0
1.0, 11.896, 0.0, 38.0
1.5, 11.528, 0.0, 38.0
2.0, 9.528, 0.0, 38.0
2.5, 8.736, 0.0, 38.0
3.0, 8.048, 0.0, 38.0
3.5, 5.072, 0.0, 38.0
4.0, 4.24, 0.0, 38.0
4.5, 6.984, 0.0, 38.0
5.0, 8.232, 63.0, 38.0
5.5, 10.432, 209.0, 39.0
6.0, 16.89, 355.0, 39.0
6.5, 19.25, 307.0, 39.0
7.0, 20.7, 259.0, 39.0
7.5, 21.91, 431.5, 39.0
8.0, 22.94, 604.0, 39.0
8.5, 22.8, 521.0, 39.0
9.0, 22.04, 438.0, 39.0
9.5, 22.0, 428.5, 39.0
10.0, 22.0, 419.0, 39.0
10.5, 21.99, 255.0, 39.0
11.0, 22.0, 91.0, 39.0
11.5, 22.0, 79.0, 39.0
12.0, 22.0, 67.0, 39.0
12.5, 22.0, 38.5, 39.0
13.0, 21.94, 10.0, 39.0
13.5, 21.95, 9.5, 39.0
14.0, 22.0, 9.0, 39.0
14.5, 22.0, 8.5, 39.0
15.0, 22.0, 8.0, 39.0
15.5, 22.0, 6.0, 39.0
16.0, 22.04, 4.0, 39.0
16.5, 22.0, 2.0, 39.0
17.0, 22.0, 0.0, 39.0
17.5, 22.0, 0.0, 39.0
18.0, 22.0, 0.0, 39.0
18.5, 22.07, 0.0, 39.0
19.0, 22.0, 0.0, 39.0
19.5, 22.0, 0.0, 39.0
20.0, 22.0, 0.0, 39.0
20.5, 22.04, 0.0, 39.0
21.0, 22.0, 0.0, 39.0
21.5, 22.32, 0.0, 39.0
22.0, 21.71, 0.0, 39.0
22.5, 30.936, 0.0, 39.0
23.0, 21.79, 0.0, 39.0
23.5, 22.14, 0.0, 39.0
0.0, 21.99, 0.0, 39.0
0.5, 20.39, 0.0, 39.0
1.0, 17.62, 0.0, 39.0
1.5, 17.23, 0.0, 39.0
2.0, 10.144, 0.0, 39.0
2.5, 9.408, 0.0, 39.0
3.0, 8.912, 0.0, 39.0
3.5, 7.952, 0.0, 39.0
4.0, 7.816, 0.0, 39.0
4.5, 8.8, 0.0, 39.0
5.0, 8.144, 4.0, 39.0
5.5, 8.496, 12.5, 39.0
6.0, 9.48, 21.0, 39.0
6.5, 12.376, 12.5, 39.0
7.0, 17.94, 4.0, 39.0
