Hour, Price, Sun, Charge
1.0, 18.73, 0.0, 0.0
1.5, 15.43, 0.0, 0.0
2.0, 10.6, 0.0, 0.0
2.5, 10.376, 0.0, 0.0
3.0, 9.88, 0.0, 0.0
3.5, 8.552, 0.0, 0.0
4.0, 8.328, 0.0, 0.0
4.5, 9.472, 0.0, 0.0
5.0, 9.352, 5.0, 0.0
5.5, 9.464, 203.5, 1.0
6.0, 9.328, 402.0, 4.0
6.5, 10.584, 575.0, 10.0
7.0, 15.39, 748.0, 18.0
7.5, 17.54, 782.0, 28.0
8.0, 19.14, 816.0, 28.0
8.5, 21.65, 786.0, 28.0
9.0, 21.84, 756.0, 28.0
9.5, 27.936, 770.5, 28.0
10.0, 29.076, 785.0, 28.0
10.5, 31.692, 728.0, 28.0
11.0, 35.544, 671.0, 28.0
11.5, 44.448, 636.0, 28.0
12.0, 48.66, 601.0, 28.0
12.5, 59.148, 323.5, 28.0
13.0, 82.692, 46.0, 28.0
13.5, 118.476, 63.0, 28.0
14.0, 171.348, 80.0, 28.0
14.5, 114.588, 166.5, 28.0
15.0, 74.664, 253.0, 28.0
15.5, 72.132, 299.5, 28.0
16.0, 52.872, 346.0, 28.0
16.5, 40.392, 173.0, 28.0
17.0, 40.848, 0.0, 28.0
17.5, 39.108, 0.0, 28.0
18.0, 39.384, 0.0, 28.0
18.5, 37.728, 0.0, 28.0
19.0, 37.488, 0.0, 28.0
19.5, 38.04, 0.0, 28.0
20.0, 37.404, 0.0, 28.0
20.5, 35.424, 0.0, 28.0
21.0, 29.76, 0.0, 28.0
21.5, 27.78, 0.0, 28.0
22.0, 21.46, 0.0, 28.0
22.5, 27.12, 0.0, 28.0
23.0, 21.8, 0.0, 28.0
23.5, 21.52, 0.0, 28.0
0.0, 20.4, 0.0, 28.0
0.5, 16.5, 0.0, 28.0
1.0, 10.92, 0.0, 28.0
1.5, 10.472, 0.0, 28.0
2.0, 8.872, 0.0, 28.0
2.5, 8.208, 0.0, 28.0
3.0, 7.52, 0.0, 28.0
3.5, 4.752, 0.0, 28.0
4.0, 4.024, 0.0, 28.0
4.5, 6.56, 0.0, 28.0
5.0, 7.752, 0.0, 28.0
5.5, 9.808, 0.5, 28.0
6.0, 15.34, 1.0, 28.0
6.5, 17.45, 1.5, 28.0
7.0, 18.39, 2.0, 28.0
7.5, 19.91, 2.5, 28.0
8.0, 20.89, 3.0, 28.0
8.5, 21.59, 3.0, 28.0
9.0, 21.53, 3.0, 28.0
9.5, 21.64, 5.0, 28.0
10.0, 21.74, 7.0, 28.0
10.5, 21.77, 5.0, 28.0
11.0, 21.66, 3.0, 28.0
11.5, 21.72, 60.5, 28.0
12.0, 21.66, 118.0, 28.0
12.5, 21.75, 65.0, 28.0
13.0, 21.9, 12.0, 28.0
13.5, 21.96, 6.5, 28.0
14.0, 22.02, 1.0, 28.0
14.5, 22.07, 2.5, 28.0
15.0, 22.04, 4.0, 28.0
15.5, 21.93, 5.0, 28.0
16.0, 22.0, 6.0, 28.0
16.5, 21.94, 3.0, 28.0
17.0, 21.99, 0.0, 28.0
17.5, 22.04, 0.0, 28.0
18.0, 21.89, 0.0, 28.0
18.5, 21.72, 0.0, 28.0
19.0, 21.68, 0.0, 28.0
19.5, 21.85, 0.0, 28.0
20.0, 21.86, 0.0, 28.0
20.5, 21.47, 0.0, 28.0
21.0, 21.25, 0.0, 28.0
21.5, 21.4, 0.0, 28.0
22.0, 20.49, 0.0, 28.0
22.5, 28.716, 0.0, 28.0
23.0, 20.98, 0.0, 28.0
23.5, 21.07, 0.0, 28.0
0.0, 20.47, 0.0, 28.0
0.5, 18.67, 0.0, 28.0
1.0, 15.95, 0.0, 28.0
1.5, 11.936, 0.0, 28.0
2.0, 9.16, 0.0, 28.0
2.5, 8.512, 0.0, 28.0
3.0, 8.08, 0.0, 28.0
3.5, 7.232, 0.0, 28.0
4.0, 7.112, 0.0, 28.0
4.5, 8.256, 0.0, 28.0
5.0, 7.456, 0.0, 28.0
5.5, 7.752, 0.5, 28.0
6.0, 8.64, 1.0, 28.0
6.5, 11.08, 4.5, 28.0
7.0, 11.96, 8.0, 28.0
7.5, 17.0, 5.5, 28.0
8.0, 19.46, 3.0, 28.0
8.5, 20.49, 3.0, 28.0
9.0, 20.68, 3.0, 28.0
9.5, 20.77, 3.0, 28.0
10.0, 20.9, 3.0, 28.0
10.5, 21.27, 3.5, 28.0
11.0, 21.31, 4.0, 28.0
11.5, 21.14, 2.5, 28.0
12.0, 21.35, 1.0, 28.0
12.5, 21.3, 1.0, 28.0
13.0, 21.21, 1.0, 28.0
13.5, 21.12, 1.5, 28.0
14.0, 21.11, 2.0, 28.0
14.5, 21.06, 2.5, 28.0
15.0, 20.86, 3.0, 28.0
15.5, 21.01, 3.5, 28.0
16.0, 21.18, 4.0, 28.0
16.5, 21.11, 41.0, 28.0
17.0, 21.02, 78.0, 28.0
17.5, 21.16, 0.0, 28.0
18.0, 21.23, 0.0, 28.0
18.5, 21.33, 0.0, 28.0
19.0, 21.52, 0.0, 28.0
19.5, 21.39, 0.0, 28.0
20.0, 21.43, 0.0, 28.0
20.5, 21.0, 0.0, 28.0
21.0, 21.37, 0.0, 28.0
21.5, 21.46, 0.0, 28.0
22.0, 20.14, 0.0, 28.0
22.5, 21.19, 0.0, 28.0
23.0, 21.12, 0.0, 28.0
23.5, 19.99, 0.0, 28.0
0.0, 18.64, 0.0, 28.0
0.5, 11.976, 0.0, 28.0
1.0, 10.464, 0.0, 28.0
1.5, 10.04, 0.0, 28.0
2.0, 8.808, 0.0, 28.0
2.5, 8.016, 0.0, 28.0
3.0, 7.392, 0.0, 28.0
3.5, 2.432, 0.0, 28.0
4.0, 4.632, 0.0, 28.0
4.5, 2.96, 0.0, 28.0
5.0, 4.736, 7.0, 28.0
5.5, 5.312, 163.5, 29.0
6.0, 8.088, 320.0, 31.0
6.5, 9.352, 185.0, 32.0
7.0, 11.712, 50.0, 32.0
7.5, 16.74, 138.5, 33.0
8.0, 17.92, 227.0, 36.0
8.5, 19.92, 263.5, 36.0
9.0, 19.63, 300.0, 36.0
9.5, 19.91, 186.5, 36.0
10.0, 17.52, 73.0, 37.0
10.5, 18.42, 158.0, 39.0
11.0, 18.98, 243.0, 42.0
11.5, 18.94, 276.5, 46.0
12.0, 18.72, 310.0, 50.0
12.5, 19.04, 344.0, 54.0
13.0, 19.75, 378.0, 54.0
13.5, 20.31, 423.5, 54.0
14.0, 21.0, 469.0, 54.0
14.5, 21.28, 579.0, 54.0
15.0, 27.984, 689.0, 54.0
15.5, 28.236, 661.5, 54.0
16.0, 27.72, 634.0, 54.0
16.5, 21.68, 332.0, 54.0
17.0, 27.732, 30.0, 54.0
17.5, 27.24, 0.0, 54.0
18.0, 27.384, 0.0, 54.0
18.5, 21.41, 0.0, 54.0
19.0, 21.02, 0.0, 54.0
19.5, 21.04, 0.0, 54.0
20.0, 20.78, 0.0, 54.0
20.5, 20.51, 0.0, 54.0
21.0, 20.31, 0.0, 54.0
21.5, 20.53, 0.0, 54.0
22.0, 19.19, 0.0, 54.0
22.5, 21.28, 0.0, 54.0
23.0, 18.74, 0.0, 54.0
23.5, 18.94, 0.0, 54.0
0.0, 16.7, 0.0, 54.0
0.5, 11.56, 0.0, 54.0
1.0, 10.472, 0.0, 54.0
1.5, 9.8, 0.0, 54.0
2.0, 8.264, 0.0, 54.0
2.5, 7.92, 0.0, 54.0
3.0, 7.336, 0.0, 54.0
3.5, 6.76, 0.0, 54.0
4.0, 7.144, 0.0, 54.0
4.5, 8.632, 0.0, 54.0
5.0, 10.24, 230.0, 55.0
5.5, 15.39, 210.5, 56.0
6.0, 16.99, 191.0, 57.0
6.5, 20.68, 156.0, 57.0
7.0, 20.45, 121.0, 57.0
7.5, 21.01, 151.0, 57.0
8.0, 27.66, 181.0, 57.0
8.5, 29.388, 146.0, 57.0
9.0, 33.396, 111.0, 57.0
9.5, 36.588, 64.5, 57.0
10.0, 39.348, 18.0, 57.0
10.5, 41.352, 47.0, 57.0
11.0, 41.808, 76.0, 57.0
11.5, 41.88, 106.5, 57.0
12.0, 47.1, 137.0, 57.0
12.5, 54.312, 128.5, 57.0
13.0, 63.816, 120.0, 57.0
13.5, 64.452, 115.0, 57.0
14.0, 63.972, 110.0, 57.0
14.5, 63.504, 381.0, 57.0
15.0, 63.504, 652.0, 57.0
15.5, 64.656, 344.5, 57.0
16.0, 88.74, 37.0, 57.0
16.5, 68.244, 20.0, 57.0
17.0, 51.12, 3.0, 57.0
17.5, 48.78, 0.0, 57.0
18.0, 41.82, 0.0, 57.0
18.5, 37.908, 0.0, 57.0
19.0, 39.888, 0.0, 57.0
19.5, 42.06, 0.0, 57.0
20.0, 42.624, 0.0, 57.0
20.5, 41.724, 0.0, 57.0
21.0, 42.204, 0.0, 57.0
21.5, 41.136, 0.0, 57.0
22.0, 32.184, 0.0, 57.0
22.5, 34.668, 0.0, 57.0
23.0, 30.636, 0.0, 57.0
23.5, 31.188, 0.0, 57.0
0.0, 22.36, 0.0, 57.0
0.5, 19.61, 0.0, 57.0
1.0, 19.44, 0.0, 57.0
1.5, 19.79, 0.0, 57.0
2.0, 18.5, 0.0, 57.0
2.5, 16.26, 0.0, 57.0
3.0, 18.79, 0.0, 57.0
3.5, 17.35, 0.0, 57.0
4.0, 17.03, 0.0, 57.0
4.5, 18.77, 0.0, 57.0
5.0, 18.24, 436.0, 59.0
5.5, 20.14, 582.5, 59.0
6.0, 22.05, 729.0, 59.0
6.5, 28.2, 694.5, 59.0
7.0, 32.592, 660.0, 59.0
7.5, 35.1, 658.5, 59.0
8.0, 37.812, 657.0, 59.0
8.5, 43.848, 626.0, 59.0
9.0, 44.16, 595.0, 59.0
9.5, 48.12, 549.0, 59.0
10.0, 51.732, 503.0, 59.0
10.5, 56.904, 662.5, 59.0
11.0, 65.016, 822.0, 59.0
11.5, 75.432, 877.5, 59.0
12.0, 80.94, 933.0, 59.0
12.5, 109.512, 945.0, 59.0
13.0, 114.276, 957.0, 59.0
13.5, 100.164, 948.0, 59.0
14.0, 122.556, 939.0, 59.0
14.5, 134.112, 920.0, 59.0
15.0, 124.164, 901.0, 59.0
15.5, 160.5, 850.0, 59.0
16.0, 255.72, 799.0, 51.0
16.5, 111.192, 717.0, 51.0
17.0, 124.98, 635.0, 51.0
17.5, 96.648, 0.0, 51.0
18.0, 58.596, 0.0, 51.0
18.5, 42.96, 0.0, 51.0
19.0, 49.296, 0.0, 51.0
19.5, 50.34, 0.0, 51.0
20.0, 46.668, 0.0, 51.0
20.5, 47.724, 0.0, 51.0
21.0, 42.384, 0.0, 51.0
21.5, 45.924, 0.0, 51.0
22.0, 36.852, 0.0, 51.0
22.5, 36.984, 0.0, 51.0
23.0, 31.776, 0.0, 51.0
23.5, 33.228, 0.0, 51.0
0.0, 22.47, 0.0, 51.0
0.5, 21.23, 0.0, 51.0
1.0, 20.13, 0.0, 51.0
1.5, 21.31, 0.0, 51.0
2.0, 19.98, 0.0, 51.0
2.5, 20.57, 0.0, 51.0
3.0, 19.76, 0.0, 51.0
3.5, 19.79, 0.0, 51.0
4.0, 19.52, 0.0, 51.0
4.5, 19.05, 0.0, 51.0
5.0, 19.81, 352.0, 51.0
5.5, 22.25, 474.0, 51.0
6.0, 21.73, 596.0, 51.0
6.5, 31.632, 648.5, 51.0
7.0, 38.28, 701.0, 51.0
7.5, 37.176, 553.0, 51.0
8.0, 42.432, 405.0, 51.0
8.5, 51.528, 398.5, 51.0
9.0, 52.392, 392.0, 51.0
9.5, 55.608, 389.0, 51.0
10.0, 59.736, 386.0, 51.0
10.5, 64.944, 453.0, 51.0
11.0, 68.832, 520.0, 51.0
11.5, 69.396, 581.0, 51.0
12.0, 70.344, 642.0, 51.0
12.5, 131.352, 610.0, 51.0
13.0, 117.624, 578.0, 51.0
13.5, 120.636, 564.5, 51.0
14.0, 123.336, 551.0, 51.0
14.5, 145.872, 609.5, 51.0
15.0, 149.244, 668.0, 51.0
15.5, 147.9, 365.0, 51.0
16.0, 132.348, 62.0, 51.0
16.5, 87.156, 33.0, 51.0
17.0, 70.788, 4.0, 51.0
17.5, 68.844, 0.0, 51.0
18.0, 67.212, 0.0, 51.0
18.5, 51.012, 0.0, 51.0
19.0, 45.156, 0.0, 51.0
19.5, 49.668, 0.0, 51.0
20.0, 52.332, 0.0, 51.0
20.5, 66.456, 0.0, 51.0
21.0, 55.284, 0.0, 51.0
21.5, 55.236, 0.0, 51.0
22.0, 40.428, 0.0, 51.0
22.5, 46.86, 0.0, 51.0
23.0, 38.952, 0.0, 51.0
23.5, 38.472, 0.0, 51.0
0.0, 28.908, 0.0, 51.0
0.5, 22.3, 0.0, 51.0
1.0, 21.76, 0.0, 51.0
1.5, 27.192, 0.0, 51.0
2.0, 21.34, 0.0, 51.0
2.5, 20.61, 0.0, 51.0
3.0, 19.88, 0.0, 51.0
3.5, 19.61, 0.0, 51.0
4.0, 20.73, 0.0, 51.0
4.5, 20.08, 0.0, 51.0
5.0, 21.52, 0.0, 51.0
5.5, 28.704, 6.0, 51.0
6.0, 28.404, 12.0, 51.0
6.5, 28.332, 22.5, 51.0
7.0, 33.252, 33.0, 51.0
7.5, 31.092, 23.0, 51.0
8.0, 36.396, 13.0, 51.0
8.5, 41.52, 15.0, 51.0
9.0, 40.176, 17.0, 51.0
9.5, 39.948, 23.0, 51.0
10.0, 40.344, 29.0, 51.0
10.5, 44.244, 27.5, 51.0
11.0, 46.596, 26.0, 51.0
11.5, 43.692, 23.0, 51.0
12.0, 40.656, 20.0, 51.0
12.5, 44.076, 15.5, 51.0
13.0, 40.092, 11.0, 51.0
13.5, 35.844, 27.5, 51.0
14.0, 34.932, 44.0, 51.0
14.5, 35.892, 28.0, 51.0
15.0, 36.504, 12.0, 51.0
15.5, 33.816, 22.5, 51.0
16.0, 36.288, 33.0, 51.0
16.5, 32.916, 62.0, 51.0
17.0, 32.628, 91.0, 51.0
17.5, 32.388, 0.0, 51.0
18.0, 31.992, 0.0, 51.0
18.5, 29.436, 0.0, 51.0
19.0, 29.796, 0.0, 51.0
19.5, 32.316, 0.0, 51.0
20.0, 33.516, 0.0, 51.0
20.5, 29.868, 0.0, 51.0
21.0, 32.052, 0.0, 51.0
21.5, 29.052, 0.0, 51.0
22.0, 27.468, 0.0, 51.0
22.5, 30.96, 0.0, 51.0
23.0, 33.084, 0.0, 51.0
23.5, 31.596, 0.0, 51.0
0.0, 29.88, 0.0, 51.0
0.5, 28.644, 0.0, 51.0
1.0, 28.356, 0.0, 51.0
1.5, 28.284, 0.0, 51.0
2.0, 21.97, 0.0, 51.0
2.5, 18.15, 0.0, 51.0
3.0, 20.49, 0.0, 51.0
3.5, 19.9, 0.0, 51.0
4.0, 19.35, 0.0, 51.0
4.5, 21.58, 0.0, 51.0
5.0, 22.28, 7.0, 51.0
5.5, 27.852, 5.0, 51.0
6.0, 28.62, 3.0, 51.0
6.5, 32.064, 5.0, 51.0
7.0, 32.064, 7.0, 51.0
7.5, 31.68, 5.0, 51.0
8.0, 33.396, 3.0, 51.0
8.5, 33.996, 9.5, 51.0
9.0, 34.428, 16.0, 51.0
9.5, 38.184, 18.0, 51.0
10.0, 38.724, 20.0, 51.0
10.5, 35.892, 39.0, 51.0
11.0, 33.132, 58.0, 51.0
11.5, 37.524, 42.5, 51.0
12.0, 33.696, 27.0, 51.0
12.5, 33.54, 28.5, 51.0
13.0, 33.504, 30.0, 51.0
13.5, 32.028, 114.5, 51.0
14.0, 32.016, 199.0, 51.0
14.5, 32.58, 211.5, 51.0
15.0, 36.312, 224.0, 51.0
15.5, 35.472, 262.0, 51.0
16.0, 39.264, 300.0, 51.0
16.5, 33.24, 150.0, 51.0
17.0, 31.524, 0.0, 51.0
17.5, 29.424, 0.0, 51.0
18.0, 22.36, 0.0, 51.0
18.5, 21.6, 0.0, 51.0
19.0, 21.87, 0.0, 51.0
19.5, 21.89, 0.0, 51.0
20.0, 21.89, 0.0, 51.0
20.5, 21.57, 0.0, 51.0
21.0, 21.55, 0.0, 51.0
21.5, 27.24, 0.0, 51.0
22.0, 21.73, 0.0, 51.0
22.5, 28.968, 0.0, 51.0
23.0, 27.684, 0.0, 51.0
23.5, 30.216, 0.0, 51.0
0.0, 27.312, 0.0, 51.0
0.5, 22.08, 0.0, 51.0
1.0, 21.44, 0.0, 51.0
1.5, 20.77, 0.0, 51.0
2.0, 15.38, 0.0, 51.0
2.5, 10.56, 0.0, 51.0
3.0, 10.088, 0.0, 51.0
3.5, 10.48, 0.0, 51.0
4.0, 10.312, 0.0, 51.0
4.5, 11.816, 0.0, 51.0
5.0, 11.456, 386.0, 53.0
5.5, 15.7, 509.5, 56.0
6.0, 18.57, 633.0, 61.0
6.5, 20.97, 705.0, 61.0
7.0, 21.5, 777.0, 61.0
7.5, 21.62, 743.5, 61.0
8.0, 21.68, 710.0, 61.0
8.5, 28.068, 757.5, 61.0
9.0, 29.664, 805.0, 61.0
9.5, 31.152, 702.0, 61.0
10.0, 32.616, 599.0, 61.0
10.5, 32.016, 508.5, 61.0
11.0, 30.096, 418.0, 61.0
11.5, 30.18, 477.0, 61.0
12.0, 30.24, 536.0, 61.0
12.5, 31.152, 658.0, 61.0
13.0, 30.972, 780.0, 61.0
13.5, 30.624, 768.0, 61.0
14.0, 30.768, 756.0, 61.0
14.5, 30.216, 645.5, 61.0
15.0, 30.924, 535.0, 61.0
15.5, 30.192, 290.0, 61.0
16.0, 30.972, 45.0, 61.0
16.5, 29.436, 31.5, 61.0
17.0, 30.552, 18.0, 61.0
17.5, 28.836, 0.0, 61.0
18.0, 28.068, 0.0, 61.0
18.5, 27.072, 0.0, 61.0
19.0, 27.432, 0.0, 61.0
19.5, 27.612, 0.0, 61.0
20.0, 27.804, 0.0, 61.0
20.5, 27.768, 0.0, 61.0
21.0, 27.444, 0.0, 61.0
21.5, 28.224, 0.0, 61.0
22.0, 27.456, 0.0, 61.0
22.5, 27.96, 0.0, 61.0
23.0, 27.852, 0.0, 61.0
23.5, 28.596, 0.0, 61.0
0.0, 22.38, 0.0, 61.0
0.5, 21.99, 0.0, 61.0
1.0, 20.51, 0.0, 61.0
1.5, 19.66, 0.0, 61.0
2.0, 15.38, 0.0, 61.0
2.5, 10.76, 0.0, 61.0
3.0, 10.2, 0.0, 61.0
3.5, 11.072, 0.0, 61.0
4.0, 10.192, 0.0, 61.0
4.5, 10.72, 0.0, 61.0
5.0, 11.056, 38.0, 61.0
5.5, 10.888, 86.5, 61.0
6.0, 11.632, 135.0, 62.0
6.5, 16.07, 343.0, 65.0
7.0, 16.8, 551.0, 71.0
7.5, 18.48, 573.5, 78.0
8.0, 21.79, 596.0, 78.0
8.5, 21.94, 380.5, 78.0
9.0, 21.98, 165.0, 78.0
9.5, 28.776, 184.0, 78.0
10.0, 29.964, 203.0, 78.0
10.5, 29.964, 137.0, 78.0
11.0, 30.024, 71.0, 78.0
11.5, 30.0, 120.0, 78.0
12.0, 30.12, 169.0, 78.0
12.5, 30.588, 147.0, 78.0
13.0, 30.696, 125.0, 78.0
13.5, 30.792, 79.5, 78.0
14.0, 30.924, 34.0, 78.0
14.5, 31.14, 30.0, 78.0
15.0, 31.128, 26.0, 78.0
15.5, 34.92, 53.0, 78.0
16.0, 35.004, 80.0, 78.0
16.5, 32.784, 47.0, 78.0
17.0, 32.004, 14.0, 78.0
17.5, 31.704, 0.0, 78.0
18.0, 31.632, 0.0, 78.0
