Hour, Price, Sun, Charge
1.0, 31.0, 0.0, 0.0
1.5, 35.22, 0.0, 0.0
2.0, 37.12, 0.0, 0.0
2.5, 45.6, 0.0, 0.0
3.0, 36.22, 0.0, 0.0
3.5, 35.59, 0.0, 0.0
4.0, 31.68, 0.0, 0.0
4.5, 31.44, 0.0, 0.0
5.0, 203.268, 0.0, 0.0
5.5, 45.6, 0.0, 0.0
6.0, 45.6, 2.0, 0.0
6.5, 35.67, 2.5, 0.0
7.0, 31.0, 3.0, 0.0
7.5, 33.33, 3.0, 0.0
8.0, 31.0, 3.0, 0.0
8.5, 31.0, 3.0, 0.0
9.0, 29.15, 3.0, 0.0
9.5, 31.0, 4.5, 0.0
10.0, 31.37, 6.0, 0.0
10.5, 31.86, 4.0, 0.0
11.0, 49.608, 2.0, 0.0
11.5, 45.66, 1.5, 0.0
12.0, 50.472, 1.0, 0.0
12.5, 45.048, 2.0, 0.0
13.0, 33.0, 3.0, 0.0
13.5, 29.69, 3.5, 0.0
14.0, 33.1, 4.0, 0.0
14.5, 16.264, 3.5, 0.0
15.0, 13.384, 3.0, 0.0
15.5, 11.64, 3.0, 0.0
16.0, 18.112, 3.0, 0.0
16.5, 15.696, 2.5, 0.0
17.0, 12.896, 2.0, 0.0
17.5, 65.616, 1.0, 0.0
18.0, 63.168, 0.0, 0.0
18.5, 26.83, 0.0, 0.0
19.0, 26.19, 0.0, 0.0
19.5, 30.34, 0.0, 0.0
20.0, 36.12, 0.0, 0.0
20.5, 33.77, 0.0, 0.0
21.0, 25.77, 0.0, 0.0
21.5, 16.288, 0.0, 0.0
22.0, 14.224, 0.0, 0.0
22.5, 12.672, 0.0, 0.0
23.0, 12.784, 0.0, 0.0
23.5, 13.696, 0.0, 0.0
0.0, 16.2, 0.0, 0.0
0.5, 14.92, 0.0, 0.0
1.0, 13.928, 0.0, 0.0
1.5, 13.032, 0.0, 0.0
2.0, 12.536, 0.0, 0.0
2.5, 11.928, 0.0, 0.0
3.0, 9.68, 0.0, 0.0
3.5, 9.768, 0.0, 0.0
4.0, 9.496, 0.0, 0.0
4.5, 9.64, 0.0, 0.0
5.0, 9.8, 0.0, 0.0
5.5, 10.48, 0.0, 0.0
6.0, 9.632, 319.0, 3.0
6.5, 10.736, 552.5, 8.0
7.0, 11.48, 786.0, 17.0
7.5, 11.512, 789.5, 27.0
8.0, 12.16, 793.0, 27.0
8.5, 12.736, 879.5, 27.0
9.0, 13.448, 966.0, 27.0
9.5, 13.56, 982.0, 27.0
10.0, 13.8, 998.0, 27.0
10.5, 14.008, 1002.0, 27.0
11.0, 14.16, 1006.0, 27.0
11.5, 14.288, 1005.0, 27.0
12.0, 14.36, 1004.0, 27.0
12.5, 14.992, 1009.0, 27.0
13.0, 15.12, 1014.0, 27.0
13.5, 14.768, 1016.0, 27.0
14.0, 14.496, 1018.0, 27.0
14.5, 14.496, 1012.0, 27.0
15.0, 14.776, 1006.0, 27.0
15.5, 15.12, 981.5, 27.0
16.0, 15.496, 957.0, 27.0
16.5, 16.672, 907.0, 27.0
17.0, 16.952, 857.0, 27.0
17.5, 16.832, 789.0, 27.0
18.0, 15.736, 721.0, 27.0
18.5, 14.328, 0.0, 27.0
19.0, 13.744, 0.0, 27.0
19.5, 13.24, 0.0, 27.0
20.0, 13.352, 0.0, 27.0
20.5, 13.528, 0.0, 27.0
