Hour, Price, Sun, Charge
1.0, 15.34, 0.0, 0.0
1.5, 14.93, 0.0, 0.0
2.0, 8.776, 0.0, 0.0
2.5, 9.488, 0.0, 0.0
3.0, 8.88, 0.0, 0.0
3.5, 7.728, 0.0, 0.0
4.0, 7.56, 0.0, 0.0
4.5, 8.04, 0.0, 0.0
5.0, 7.888, 23.0, 0.0
5.5, 8.152, 40.0, 0.0
6.0, 8.168, 57.0, 0.0
6.5, 8.824, 39.5, 0.0
7.0, 12.88, 22.0, 0.0
7.5, 13.15, 28.5, 0.0
8.0, 13.53, 35.0, 0.0
8.5, 14.15, 121.0, 0.0
9.0, 14.31, 207.0, 0.0
9.5, 14.82, 108.5, 0.0
10.0, 14.74, 10.0, 0.0
10.5, 15.21, 18.0, 0.0
11.0, 17.26, 26.0, 0.0
11.5, 22.332, 42.5, 0.0
12.0, 17.53, 59.0, 0.0
12.5, 16.98, 60.0, 0.0
13.0, 14.85, 61.0, 0.0
13.5, 16.95, 87.5, 0.0
14.0, 13.8, 114.0, 0.0
14.5, 16.6, 417.0, 0.0
15.0, 28.368, 720.0, 0.0
15.5, 32.172, 450.5, 0.0
16.0, 34.44, 181.0, 0.0
16.5, 27.744, 108.5, 0.0
17.0, 22.38, 36.0, 0.0
17.5, 17.94, 91.0, 0.0
18.0, 32.148, 146.0, 0.0
18.5, 27.528, 0.0, 0.0
19.0, 25.272, 0.0, 0.0
19.5, 25.428, 0.0, 0.0
20.0, 27.036, 0.0, 0.0
20.5, 29.616, 0.0, 0.0
21.0, 24.492, 0.0, 0.0
21.5, 16.22, 0.0, 0.0
22.0, 16.48, 0.0, 0.0
22.5, 16.25, 0.0, 0.0
23.0, 16.03, 0.0, 0.0
23.5, 22.716, 0.0, 0.0
0.0, 22.704, 0.0, 0.0
0.5, 14.78, 0.0, 0.0
1.0, 12.96, 0.0, 0.0
1.5, 13.45, 0.0, 0.0
2.0, 8.768, 0.0, 0.0
2.5, 7.936, 0.0, 0.0
3.0, 7.384, 0.0, 0.0
3.5, 4.656, 0.0, 0.0
4.0, 3.832, 0.0, 0.0
4.5, 6.352, 0.0, 0.0
5.0, 7.312, 307.0, 2.0
5.5, 8.76, 538.5, 7.0
6.0, 13.77, 770.0, 15.0
6.5, 15.07, 842.0, 15.0
7.0, 18.3, 914.0, 15.0
7.5, 23.4, 945.5, 15.0
8.0, 24.36, 977.0, 15.0
8.5, 23.268, 963.5, 15.0
9.0, 23.22, 950.0, 15.0
9.5, 23.436, 777.5, 15.0
10.0, 23.364, 605.0, 15.0
10.5, 23.256, 791.0, 15.0
11.0, 23.208, 977.0, 15.0
11.5, 23.52, 799.0, 15.0
12.0, 23.544, 621.0, 15.0
12.5, 23.52, 813.5, 15.0
13.0, 23.424, 1006.0, 15.0
13.5, 22.932, 1013.5, 15.0
14.0, 23.028, 1021.0, 15.0
14.5, 22.968, 1008.5, 15.0
15.0, 22.68, 996.0, 15.0
15.5, 22.38, 971.0, 15.0
16.0, 22.608, 946.0, 15.0
16.5, 22.896, 891.5, 15.0
17.0, 23.196, 837.0, 15.0
17.5, 23.424, 729.0, 15.0
18.0, 22.332, 621.0, 15.0
18.5, 23.184, 0.0, 15.0
19.0, 17.24, 0.0, 15.0
19.5, 14.73, 0.0, 15.0
20.0, 16.7, 0.0, 15.0
20.5, 24.096, 0.0, 15.0
21.0, 23.64, 0.0, 15.0
21.5, 23.1, 0.0, 15.0
22.0, 23.028, 0.0, 15.0
22.5, 23.028, 0.0, 15.0
23.0, 22.8, 0.0, 15.0
23.5, 23.604, 0.0, 15.0
0.0, 23.088, 0.0, 15.0
0.5, 18.28, 0.0, 15.0
1.0, 14.43, 0.0, 15.0
1.5, 15.0, 0.0, 15.0
2.0, 9.448, 0.0, 15.0
2.5, 8.632, 0.0, 15.0
3.0, 8.208, 0.0, 15.0
3.5, 7.416, 0.0, 15.0
4.0, 7.272, 0.0, 15.0
4.5, 7.888, 0.0, 15.0
5.0, 7.424, 385.0, 18.0
5.5, 7.712, 545.5, 23.0
6.0, 8.432, 706.0, 31.0
6.5, 13.49, 778.5, 40.0
7.0, 14.26, 851.0, 40.0
7.5, 15.58, 885.0, 40.0
8.0, 23.652, 919.0, 40.0
8.5, 25.152, 933.5, 40.0
9.0, 25.248, 948.0, 40.0
9.5, 25.26, 940.5, 40.0
10.0, 25.368, 933.0, 40.0
10.5, 25.572, 855.0, 40.0
11.0, 25.752, 777.0, 40.0
11.5, 25.356, 640.0, 40.0
12.0, 23.976, 503.0, 40.0
12.5, 23.712, 312.5, 40.0
13.0, 23.256, 122.0, 40.0
13.5, 23.148, 120.5, 40.0
14.0, 23.112, 119.0, 40.0
14.5, 23.028, 147.5, 40.0
15.0, 22.608, 176.0, 40.0
15.5, 23.292, 335.0, 40.0
16.0, 24.684, 494.0, 40.0
16.5, 24.3, 525.5, 40.0
17.0, 25.032, 557.0, 40.0
17.5, 24.588, 367.0, 40.0
18.0, 23.256, 177.0, 40.0
18.5, 22.92, 0.0, 40.0
19.0, 18.08, 0.0, 40.0
19.5, 23.184, 0.0, 40.0
20.0, 23.28, 0.0, 40.0
20.5, 23.664, 0.0, 40.0
21.0, 23.148, 0.0, 40.0
21.5, 23.136, 0.0, 40.0
22.0, 23.064, 0.0, 40.0
22.5, 17.3, 0.0, 40.0
23.0, 14.29, 0.0, 40.0
23.5, 17.57, 0.0, 40.0
0.0, 14.93, 0.0, 40.0
0.5, 14.17, 0.0, 40.0
1.0, 12.73, 0.0, 40.0
1.5, 12.9, 0.0, 40.0
2.0, 8.84, 0.0, 40.0
2.5, 8.024, 0.0, 40.0
3.0, 7.4, 0.0, 40.0
3.5, 2.416, 0.0, 40.0
4.0, 4.328, 0.0, 40.0
4.5, 2.824, 0.0, 40.0
5.0, 4.552, 381.0, 43.0
5.5, 5.128, 566.0, 48.0
6.0, 7.672, 751.0, 56.0
6.5, 8.6, 821.5, 66.0
7.0, 13.69, 892.0, 78.0
7.5, 14.14, 925.5, 78.0
8.0, 16.66, 959.0, 78.0
8.5, 23.028, 974.5, 78.0
9.0, 23.292, 990.0, 78.0
9.5, 23.268, 994.0, 78.0
10.0, 16.34, 998.0, 78.0
10.5, 18.32, 996.0, 78.0
11.0, 22.812, 994.0, 78.0
11.5, 23.028, 996.0, 78.0
12.0, 23.064, 998.0, 78.0
12.5, 22.956, 983.0, 78.0
13.0, 23.256, 968.0, 78.0
13.5, 25.584, 655.0, 78.0
14.0, 25.38, 342.0, 78.0
14.5, 25.572, 539.0, 78.0
15.0, 31.944, 736.0, 78.0
15.5, 31.872, 833.0, 78.0
16.0, 32.736, 930.0, 78.0
16.5, 28.836, 875.5, 78.0
17.0, 31.86, 821.0, 78.0
17.5, 31.452, 712.0, 78.0
18.0, 31.056, 603.0, 78.0
18.5, 27.9, 0.0, 78.0
19.0, 26.28, 0.0, 78.0
19.5, 25.896, 0.0, 78.0
20.0, 25.788, 0.0, 78.0
20.5, 26.088, 0.0, 78.0
21.0, 25.68, 0.0, 78.0
21.5, 25.08, 0.0, 78.0
22.0, 22.62, 0.0, 78.0
22.5, 17.5, 0.0, 78.0
23.0, 14.89, 0.0, 78.0
23.5, 22.212, 0.0, 78.0
0.0, 16.93, 0.0, 78.0
0.5, 14.5, 0.0, 78.0
1.0, 13.25, 0.0, 78.0
1.5, 13.33, 0.0, 78.0
2.0, 8.856, 0.0, 78.0
2.5, 8.272, 0.0, 78.0
3.0, 7.808, 0.0, 78.0
3.5, 7.264, 0.0, 78.0
4.0, 7.648, 0.0, 78.0
4.5, 8.904, 0.0, 78.0
5.0, 13.55, 293.0, 80.0
5.5, 16.43, 149.5, 80.0
6.0, 18.36, 6.0, 80.0
6.5, 26.724, 316.0, 80.0
7.0, 27.588, 626.0, 80.0
7.5, 25.98, 788.5, 80.0
8.0, 27.888, 951.0, 80.0
8.5, 31.296, 971.5, 80.0
9.0, 34.908, 992.0, 80.0
9.5, 39.852, 995.5, 80.0
10.0, 43.512, 999.0, 80.0
10.5, 45.432, 993.5, 80.0
11.0, 44.772, 988.0, 80.0
11.5, 44.748, 989.5, 80.0
12.0, 50.976, 991.0, 80.0
12.5, 58.38, 983.0, 80.0
13.0, 65.304, 975.0, 80.0
13.5, 66.984, 962.0, 80.0
14.0, 64.98, 949.0, 80.0
14.5, 64.404, 945.5, 80.0
15.0, 65.028, 942.0, 80.0
15.5, 66.804, 901.5, 80.0
16.0, 83.652, 861.0, 80.0
16.5, 59.172, 819.5, 80.0
17.0, 47.82, 778.0, 80.0
17.5, 63.084, 674.5, 80.0
18.0, 61.164, 571.0, 80.0
18.5, 54.504, 0.0, 80.0
19.0, 45.252, 0.0, 80.0
19.5, 43.824, 0.0, 80.0
20.0, 43.824, 0.0, 80.0
20.5, 49.332, 0.0, 80.0
21.0, 47.328, 0.0, 80.0
21.5, 45.768, 0.0, 80.0
22.0, 35.94, 0.0, 80.0
22.5, 38.964, 0.0, 80.0
23.0, 34.572, 0.0, 80.0
23.5, 38.352, 0.0, 80.0
0.0, 33.036, 0.0, 80.0
0.5, 28.032, 0.0, 80.0
1.0, 27.492, 0.0, 80.0
1.5, 30.648, 0.0, 80.0
2.0, 27.672, 0.0, 80.0
2.5, 23.496, 0.0, 80.0
3.0, 27.096, 0.0, 80.0
3.5, 24.36, 0.0, 80.0
4.0, 23.76, 0.0, 80.0
4.5, 27.06, 0.0, 80.0
5.0, 26.424, 298.0, 80.0
5.5, 29.952, 492.0, 80.0
6.0, 33.228, 686.0, 80.0
6.5, 34.116, 764.0, 80.0
7.0, 39.564, 842.0, 80.0
7.5, 39.12, 879.0, 80.0
8.0, 39.192, 916.0, 80.0
8.5, 46.404, 933.0, 80.0
9.0, 48.036, 950.0, 80.0
9.5, 51.396, 955.5, 80.0
10.0, 55.14, 961.0, 80.0
10.5, 67.824, 958.5, 80.0
11.0, 70.188, 956.0, 80.0
11.5, 77.544, 957.5, 80.0
12.0, 100.38, 959.0, 77.0
12.5, 107.16, 963.5, 74.0
13.0, 107.976, 968.0, 71.0
13.5, 107.94, 964.0, 68.0
14.0, 108.948, 960.0, 65.0
14.5, 119.052, 945.5, 62.0
15.0, 119.616, 931.0, 59.0
15.5, 133.068, 901.5, 55.0
16.0, 140.4, 872.0, 50.0
16.5, 108.12, 810.5, 44.0
17.0, 108.876, 749.0, 36.0
17.5, 97.008, 619.5, 34.0
18.0, 63.528, 490.0, 34.0
18.5, 59.592, 0.0, 34.0
19.0, 52.56, 0.0, 34.0
19.5, 52.32, 0.0, 34.0
20.0, 47.22, 0.0, 34.0
20.5, 50.496, 0.0, 34.0
21.0, 45.108, 0.0, 34.0
21.5, 51.444, 0.0, 34.0
22.0, 41.52, 0.0, 34.0
22.5, 38.52, 0.0, 34.0
23.0, 33.552, 0.0, 34.0
23.5, 36.348, 0.0, 34.0
0.0, 31.212, 0.0, 34.0
0.5, 28.608, 0.0, 34.0
1.0, 28.62, 0.0, 34.0
1.5, 54.132, 0.0, 34.0
2.0, 33.6, 0.0, 34.0
2.5, 30.0, 0.0, 34.0
3.0, 29.004, 0.0, 34.0
3.5, 29.052, 0.0, 34.0
4.0, 28.932, 0.0, 34.0
4.5, 28.632, 0.0, 34.0
5.0, 30.66, 1.0, 34.0
5.5, 45.972, 2.0, 34.0
6.0, 35.436, 3.0, 34.0
6.5, 39.852, 4.5, 34.0
7.0, 47.364, 6.0, 34.0
7.5, 41.736, 15.0, 34.0
8.0, 44.88, 24.0, 34.0
8.5, 53.604, 15.5, 34.0
9.0, 52.812, 7.0, 34.0
9.5, 53.316, 15.0, 34.0
10.0, 55.092, 23.0, 34.0
10.5, 60.084, 42.5, 34.0
11.0, 62.676, 62.0, 34.0
11.5, 62.1, 32.0, 34.0
12.0, 61.524, 2.0, 34.0
12.5, 74.988, 139.5, 34.0
13.0, 66.468, 277.0, 34.0
13.5, 51.42, 155.5, 34.0
14.0, 54.48, 34.0, 34.0
14.5, 54.552, 329.5, 34.0
15.0, 54.132, 625.0, 34.0
15.5, 54.372, 691.0, 34.0
16.0, 64.368, 757.0, 34.0
16.5, 61.98, 501.5, 34.0
17.0, 49.476, 246.0, 34.0
17.5, 46.908, 123.0, 34.0
18.0, 43.956, 0.0, 34.0
18.5, 37.02, 0.0, 34.0
19.0, 32.352, 0.0, 34.0
19.5, 32.832, 0.0, 34.0
20.0, 42.216, 0.0, 34.0
20.5, 57.096, 0.0, 34.0
21.0, 50.16, 0.0, 34.0
21.5, 49.884, 0.0, 34.0
22.0, 37.692, 0.0, 34.0
22.5, 43.944, 0.0, 34.0
23.0, 36.072, 0.0, 34.0
23.5, 38.088, 0.0, 34.0
0.0, 29.316, 0.0, 34.0
0.5, 25.572, 0.0, 34.0
1.0, 25.836, 0.0, 34.0
1.5, 29.676, 0.0, 34.0
2.0, 26.556, 0.0, 34.0
2.5, 25.272, 0.0, 34.0
3.0, 23.808, 0.0, 34.0
3.5, 23.496, 0.0, 34.0
4.0, 24.54, 0.0, 34.0
4.5, 23.952, 0.0, 34.0
5.0, 25.404, 366.0, 37.0
5.5, 29.292, 578.0, 37.0
