Hour, Price, Sun, Charge
1.0, 20.15, 0.0, 0.0
1.5, 18.95, 0.0, 0.0
2.0, 16.88, 0.0, 0.0
2.5, 16.28, 0.0, 0.0
3.0, 12.576, 0.0, 0.0
3.5, 11.456, 0.0, 0.0
4.0, 10.288, 0.0, 0.0
4.5, 11.704, 0.0, 0.0
5.0, 11.896, 23.0, 0.0
5.5, 9.128, 74.5, 0.0
6.0, 11.888, 126.0, 1.0
6.5, 12.776, 150.0, 2.0
7.0, 12.824, 174.0, 4.0
7.5, 17.4, 110.5, 5.0
8.0, 19.32, 47.0, 5.0
8.5, 19.51, 169.0, 5.0
9.0, 19.77, 291.0, 5.0
9.5, 20.11, 273.0, 5.0
10.0, 21.1, 255.0, 5.0
10.5, 21.08, 178.5, 5.0
11.0, 21.22, 102.0, 5.0
11.5, 21.21, 64.5, 5.0
12.0, 21.4, 27.0, 5.0
12.5, 21.14, 17.0, 5.0
13.0, 21.29, 7.0, 5.0
13.5, 21.76, 73.0, 5.0
14.0, 21.44, 139.0, 5.0
14.5, 21.32, 109.0, 5.0
15.0, 21.2, 79.0, 5.0
15.5, 21.08, 40.0, 5.0
16.0, 21.09, 1.0, 5.0
16.5, 21.19, 0.5, 5.0
17.0, 21.95, 0.0, 5.0
17.5, 23.11, 0.0, 5.0
18.0, 22.97, 0.0, 5.0
18.5, 21.74, 0.0, 5.0
19.0, 21.29, 0.0, 5.0
19.5, 21.29, 0.0, 5.0
20.0, 21.2, 0.0, 5.0
20.5, 21.17, 0.0, 5.0
21.0, 20.98, 0.0, 5.0
21.5, 21.69, 0.0, 5.0
22.0, 20.43, 0.0, 5.0
22.5, 21.41, 0.0, 5.0
23.0, 22.11, 0.0, 5.0
23.5, 21.14, 0.0, 5.0
0.0, 20.52, 0.0, 5.0
0.5, 20.28, 0.0, 5.0
1.0, 18.92, 0.0, 5.0
1.5, 17.34, 0.0, 5.0
2.0, 12.136, 0.0, 5.0
2.5, 11.4, 0.0, 5.0
3.0, 11.344, 0.0, 5.0
3.5, 11.992, 0.0, 5.0
4.0, 12.336, 0.0, 5.0
4.5, 10.032, 0.0, 5.0
5.0, 11.44, 221.0, 6.0
5.5, 12.4, 168.5, 7.0
6.0, 16.24, 116.0, 8.0
6.5, 16.92, 310.5, 11.0
7.0, 16.33, 505.0, 17.0
7.5, 19.27, 534.5, 17.0
8.0, 20.31, 564.0, 17.0
8.5, 21.09, 522.5, 17.0
9.0, 21.65, 481.0, 17.0
9.5, 22.66, 375.5, 17.0
10.0, 22.39, 270.0, 17.0
10.5, 21.92, 199.0, 17.0
11.0, 22.18, 128.0, 17.0
11.5, 22.18, 75.5, 17.0
12.0, 22.74, 23.0, 17.0
12.5, 22.49, 99.5, 17.0
13.0, 22.64, 176.0, 17.0
13.5, 22.9, 104.0, 17.0
14.0, 22.65, 32.0, 17.0
14.5, 23.1, 243.0, 17.0
15.0, 23.22, 454.0, 17.0
15.5, 23.93, 257.5, 17.0
16.0, 29.94, 61.0, 17.0
16.5, 30.384, 218.0, 17.0
17.0, 30.108, 375.0, 17.0
17.5, 23.43, 0.0, 17.0
18.0, 23.07, 0.0, 17.0
18.5, 22.79, 0.0, 17.0
19.0, 23.29, 0.0, 17.0
19.5, 23.66, 0.0, 17.0
20.0, 30.168, 0.0, 17.0
20.5, 23.66, 0.0, 17.0
21.0, 23.31, 0.0, 17.0
21.5, 23.54, 0.0, 17.0
22.0, 23.74, 0.0, 17.0
22.5, 29.052, 0.0, 17.0
23.0, 23.69, 0.0, 17.0
23.5, 23.44, 0.0, 17.0
0.0, 22.77, 0.0, 17.0
0.5, 21.98, 0.0, 17.0
1.0, 21.37, 0.0, 17.0
1.5, 20.97, 0.0, 17.0
2.0, 18.13, 0.0, 17.0
2.5, 16.37, 0.0, 17.0
3.0, 12.368, 0.0, 17.0
3.5, 12.8, 0.0, 17.0
4.0, 11.744, 0.0, 17.0
4.5, 10.864, 0.0, 17.0
5.0, 10.928, 265.0, 18.0
5.5, 11.64, 235.5, 19.0
6.0, 16.49, 206.0, 21.0
6.5, 16.95, 171.0, 22.0
7.0, 17.0, 136.0, 23.0
7.5, 19.03, 145.5, 23.0
8.0, 20.85, 155.0, 23.0
8.5, 21.14, 170.0, 23.0
9.0, 22.27, 185.0, 23.0
9.5, 30.312, 138.0, 23.0
10.0, 23.92, 91.0, 23.0
10.5, 29.424, 46.5, 23.0
11.0, 32.784, 2.0, 23.0
11.5, 39.9, 2.0, 23.0
12.0, 31.236, 2.0, 23.0
12.5, 30.876, 4.5, 23.0
13.0, 30.636, 7.0, 23.0
13.5, 31.392, 5.5, 23.0
14.0, 31.8, 4.0, 23.0
14.5, 31.224, 3.5, 23.0
15.0, 31.008, 3.0, 23.0
15.5, 30.42, 4.0, 23.0
16.0, 30.624, 5.0, 23.0
16.5, 29.808, 4.5, 23.0
17.0, 30.348, 4.0, 23.0
17.5, 29.328, 0.0, 23.0
18.0, 29.64, 0.0, 23.0
18.5, 30.18, 0.0, 23.0
19.0, 29.664, 0.0, 23.0
19.5, 24.14, 0.0, 23.0
20.0, 23.94, 0.0, 23.0
