Location, State, Year, Revenue Dollars Per MWh Solar, Average Storage Level
Sydney, nsw, 2005, 65.1010479297, 0.0368963696558
Sydney, nsw, 2006, 63.9829922718, 0.037594183458
Sydney, nsw, 2007, 128.121939415, 0.0591158171128
Sydney, nsw, 2008, 82.9493930901, 0.0239604087209
Sydney, nsw, 2009, 80.5625797555, 0.0248779896113
Sydney, nsw, 2010, 67.8194688596, 0.0113847822364
Sydney, nsw, 2011, 87.5874898659, 0.00873123465951
Adelaide, sa, 2005, 72.0769788044, 0.0412816085393
Adelaide, sa, 2006, 78.9952671234, 0.0592720760317
Adelaide, sa, 2007, 122.095542104, 0.0526221530909
Adelaide, sa, 2008, 88.5648685821, 0.0179427335345
Adelaide, sa, 2009, 79.412942589, 0.0207431931046
Adelaide, sa, 2010, 63.9343330407, 0.0242208459387
Adelaide, sa, 2011, 67.469337682, 0.0170700382442
Melbourne, vic, 2005, 66.0713088662, 0.0169979736286
Melbourne, vic, 2006, 72.0890127608, 0.0382777270392
Melbourne, vic, 2007, 129.253816599, 0.0440307665963
Melbourne, vic, 2008, 94.6919597595, 0.0079566801389
Melbourne, vic, 2009, 79.6142641582, 0.0184706604258
Melbourne, vic, 2010, 64.6650967566, 0.0141139619841
Melbourne, vic, 2011, 69.6485012112, 0.00424182316342
Uni of Qld, qld, 2005, 54.6981547091, 0.013669444603
Uni of Qld, qld, 2006, 55.2219297178, 0.0156194702894
Uni of Qld, qld, 2007, 144.47399085, 0.0791447856613
Uni of Qld, qld, 2008, 85.6582695418, 0.0336070473046
Uni of Qld, qld, 2009, 74.9466052515, 0.0260210343056
Uni of Qld, qld, 2010, 65.990242362, 0.0064965180661
Uni of Qld, qld, 2011, 84.1100361492, 0.0182566071123
