Location, State, Year, Revenue Dollars Per MWh Solar, Average Storage Level
Sydney, nsw, 2005, 64.1251552721, 0.228698841258
Sydney, nsw, 2006, 63.4757804846, 0.318114618414
Sydney, nsw, 2007, 127.329930886, 0.380862206747
Sydney, nsw, 2008, 83.0132768929, 0.362633773553
Sydney, nsw, 2009, 79.7872874929, 0.51827587191
Sydney, nsw, 2010, 67.484258098, 0.291451424168
Sydney, nsw, 2011, 87.1013179349, 0.0580298533021
Adelaide, sa, 2005, 71.6613897711, 0.485515012272
Adelaide, sa, 2006, 78.4535050978, 0.417486015184
Adelaide, sa, 2007, 121.701692278, 0.472056766939
Adelaide, sa, 2008, 88.242882304, 0.21617450333
Adelaide, sa, 2009, 78.9019618128, 0.509088703693
Adelaide, sa, 2010, 63.7499206468, 0.414034048747
Adelaide, sa, 2011, 67.4593155631, 0.488445402135
Melbourne, vic, 2005, 65.6659918559, 0.308670586221
Melbourne, vic, 2006, 71.5593994183, 0.44637465038
Melbourne, vic, 2007, 128.599445642, 0.358777612877
Melbourne, vic, 2008, 94.7187414372, 0.121709739853
Melbourne, vic, 2009, 79.5982904956, 0.596248358925
Melbourne, vic, 2010, 64.2452887128, 0.160029824762
Melbourne, vic, 2011, 69.4519073053, 0.181490809978
Uni of Qld, qld, 2005, 54.3294293319, 0.255123722815
Uni of Qld, qld, 2006, 54.485622779, 0.389182459044
Uni of Qld, qld, 2007, 143.218512787, 0.464858867515
Uni of Qld, qld, 2008, 85.4188671627, 0.446807223772
Uni of Qld, qld, 2009, 74.5193319003, 0.506325275415
Uni of Qld, qld, 2010, 65.8811380765, 0.132740881329
Uni of Qld, qld, 2011, 83.9945272388, 0.130635310235
